*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  SEP 04, 2025 02:01:40

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2020 109     0   0.777    1.08    5000    0.87
 2020 110     1   0.950    3.07   10000    1.17
 2020 111     2   0.950    3.07   10000    1.39
 2020 112     3   0.950    3.07   10000    0.27
 2020 113     4   0.950    3.07   10000    0.05
 2020 114     5   0.950    3.07   10000    0.96
 2020 115     6   0.950    3.07   10000    2.77
 2020 116     7   0.950    3.07   10000    0.80
 2020 117     8   0.950    3.07   10000    0.15
 2020 118     9   0.950    3.07   10000    0.03
 2020 119    10   0.950    3.07   10000    0.01
 2020 120    11   0.950    3.07   10000    0.00
 2020 121    12   0.950    3.07   10000    0.00
 2020 122    13   0.950    3.07   10000    0.00
 2020 123    14   0.950    3.07   10000    3.50
 2020 124    15   0.950    3.07   10000    1.51
 2020 125    16   0.950    3.07   10000    3.58
 2020 126    17   0.950    3.07   10000    1.50
 2020 127    18   0.950    3.07   10000    0.29
 2020 128    19   0.950    3.07   10000    0.06
 2020 129    20   0.950    3.07   10000    0.01
 2020 130    21   0.950    3.07   10000    0.00
 2020 131    22   0.950    3.07   10000    0.00
 2020 132    23   0.950    3.07   10000    0.00
 2020 133    24   0.950    3.07   10000    0.00
 2020 134    25   0.950    3.07   10000    0.00
 2020 135    26   0.950    3.07   10000    0.00
 2020 136    27   0.950    3.07   10000    3.50
 2020 137    28   0.950    3.07   10000    1.51
 2020 138    29   0.950    3.07   10000    0.29
 2020 139    30   0.950    3.07   10000    0.06
 2020 140    31   0.950    3.07   10000    0.01
 2020 141    32   0.950    3.07   10000    0.00
 2020 142    33   0.950    3.07   10000    1.90
 2020 143    34   0.950    3.07   10000    0.65
 2020 144    35   0.950    3.07   10000    3.26
 2020 145    36   0.950    3.07   10000    0.63
 2020 146    37   0.950    3.07   10000    3.53
 2020 147    38   0.950    3.07   10000    0.68
 2020 148    39   0.950    3.07   10000    0.13
 2020 149    40   0.950    3.07   10000    0.03
 2020 150    41   0.950    3.07   10000    0.00
 2020 151    42   0.950    3.07   10000    0.76
 2020 152    43   0.950    3.07   10000    0.15
 2020 153    44   0.950    3.07   10000    0.03
 2020 154    45   0.950    3.07   10000    0.01
 2020 155    46   0.950    3.07   10000    0.00
 2020 156    47   0.950    3.07   10000    0.00
 2020 157    48   0.950    3.07   10000    0.00
 2020 158    49   0.950    3.07   10000    1.24
 2020 159    50   0.950    3.07   10000    0.24
 2020 160    51   0.950    3.07   10000    2.42
 2020 161    52   0.950    3.07   10000    3.04
 2020 162    53   0.950    3.07   10000    0.58
 2020 163    54   0.950    3.07   10000    0.11
 2020 164    55   0.950    3.07   10000    0.02
 2020 165    56   0.950    3.07   10000    0.00
 2020 166    57   0.950    3.07   10000    0.00
 2020 167    58   0.950    3.07   10000    0.00
 2020 168    59   0.950    3.07   10000    0.00
 2020 169    60   0.950    3.07   10000    0.00
 2020 170    61   0.950    3.07   10000    0.00
 2020 171    62   0.950    3.07   10000    2.19
 2020 172    63   0.950    3.07   10000    0.42
 2020 173    64   0.950    3.07   10000    0.08
 2020 174    65   0.950    3.07   10000    2.20
 2020 175    66   0.950    3.07   10000    0.42
 2020 176    67   0.950    3.07   10000    0.08
 2020 177    68   0.950    3.07   10000    1.73
 2020 178    69   0.950    3.07   10000    0.62
 2020 179    70   0.950    3.07   10000    0.12
 2020 180    71   0.950    3.07   10000    0.02
 2020 181    72   0.950    3.07   10000    0.00
 2020 182    73   0.950    3.07   10000    0.00
 2020 183    74   0.950    3.07   10000    0.00
 2020 184    75   0.950    3.07   10000    0.00
 2020 185    76   0.950    3.07   10000    0.00
 2020 186    77   0.950    3.07   10000    0.00
 2020 187    78   0.950    3.07   10000    0.00
 2020 188    79   0.950    3.07   10000    0.00
 2020 189    80   0.950    3.07   10000    0.00
 2020 190    81   0.950    3.07   10000    3.14
 2020 191    82   0.950    3.07   10000    0.97
 2020 192    83   0.950    3.07   10000    0.19
 2020 193    84   0.950    3.07   10000    0.04
 2020 194    85   0.950    3.07   10000    0.01
 2020 195    86   0.950    3.07   10000    3.50
 2020 196    87   0.950    3.07   10000    1.58
 2020 197    88   0.950    3.07   10000    0.30
 2020 198    89   0.950    3.07   10000    0.06
 2020 199    90   0.950    3.07   10000    0.01
 2020 200    91   0.950    3.07   10000    0.00
 2020 201    92   0.950    3.07   10000    0.00
 2020 202    93   0.950    3.07   10000    0.29
 2020 203    94   0.950    3.07   10000    0.05
 2020 204    95   0.950    3.07   10000    0.01
 2020 205    96   0.950    3.07   10000    0.00
 2020 206    97   0.950    3.07   10000    3.50
 2020 207    98   0.950    3.07   10000    0.67
 2020 208    99   0.950    3.07   10000    0.13
 2020 209   100   0.950    3.07   10000    0.02
 2020 210   101   0.950    3.07   10000    0.00
 2020 211   102   0.950    3.07   10000    3.50
 2020 212   103   0.950    3.07   10000    1.70
 2020 213   104   0.950    3.07   10000    0.33
 2020 214   105   0.950    3.07   10000    2.44
 2020 215   106   0.950    3.07   10000    0.47
 2020 216   107   0.950    3.07   10000    0.09
 2020 217   108   0.950    3.07   10000    0.02
 2020 218   109   0.950    3.07   10000    0.00
 2020 219   110   0.950    3.07   10000    0.00
 2020 220   111   0.950    3.07   10000    0.00
 2020 221   112   0.950    3.07   10000    2.19
 2020 222   113   0.950    3.07   10000    0.42
 2020 223   114   0.950    3.07   10000    0.08
 2020 224   115   0.950    3.07   10000    0.02
 2020 225   116   0.950    3.07   10000    0.00
 2020 226   117   0.950    3.07   10000    0.00
 2020 227   118   0.950    3.07   10000    0.00
 2020 228   119   0.950    3.07   10000    0.00
 2020 229   120   0.950    3.07   10000    0.00
 2020 230   121   0.950    3.07   10000    0.00
 2020 231   122   0.950    3.07   10000    0.00
 2020 232   123   0.950    3.07   10000    0.00
 2020 233   124   0.950    3.07   10000    0.00
 2020 234   125   0.950    3.07   10000    0.00
 2020 235   126   0.950    3.07   10000    0.00
 2020 236   127   0.950    3.07   10000    0.00
 2020 237   128   0.950    3.07   10000    0.00
 2020 238   129   0.950    3.07   10000    0.00
 2020 239   130   0.950    3.07   10000    0.00
 2020 240   131   0.950    3.07   10000    0.00
 2020 241   132   0.950    3.07   10000    0.00
 2020 242   133   0.950    3.07   10000    0.00
 2020 243   134   0.950    3.07   10000    0.00
 2020 244   135   0.950    3.07   10000    0.00
 2020 245   136   0.950    3.07   10000    0.00
 2020 246   137   0.950    3.07   10000    0.00
 2020 247   138   0.950    3.07   10000    0.00
 2020 248   139   0.950    3.07   10000    0.00
 2020 249   140   0.950    3.07   10000    0.00
 2020 250   141   0.950    3.07   10000    0.00
 2020 251   142   0.950    3.07   10000    0.00
 2020 252   143   0.950    3.07   10000    3.50
 2020 253   144   0.950    3.07   10000    2.50
 2020 254   145   0.950    3.07   10000    0.52
 2020 255   146   0.950    3.07   10000    2.28
 2020 256   147   0.950    3.07   10000    0.44
 2020 257   148   0.950    3.07   10000    0.08
 2020 258   149   0.950    3.07   10000    0.02
 2020 259   150   0.950    3.07   10000    0.00
 2020 260   151   0.950    3.07   10000    0.00
 2020 261   152   0.950    3.07   10000    0.00
 2020 262   153   0.950    3.07   10000    0.00
 2020 263   154   0.950    3.07   10000    0.00
 2020 264   155   0.950    3.07   10000    0.00
 2020 265   156   0.950    3.07   10000    0.95
 2020 266   157   0.950    3.07   10000    0.18
 2020 267   158   0.950    3.07   10000    0.04
 2020 268   159   0.950    3.07   10000    0.01
