*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 23, 2025 23:43:37

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 121     1     1191     0.00     0.00        1     0.00     0.00        4        0        0        4
 2022 122     2     1153     0.00     0.00        2     0.00     0.00        9        0        0        9
 2022 123     3      791     0.00     0.00        3     0.00     0.00       12        0        0       12
 2022 124     4      466     0.00     0.00        4     0.00     0.00       13        0        0       13
 2022 125     5      270     0.00     0.00        4     0.00     0.00       14        0        0       14
 2022 126     6      260     0.00     0.00        4     0.00     0.00       15        0        0       15
 2022 127     7      518     0.01     0.00        5     0.00     0.00       17        0        0       17
 2022 128     8     1350     0.00     0.00        6     0.00     0.00       22        0        0       22
 2022 129     9     2239     0.01     0.00        8     0.00     0.00       30        0        0       30
 2022 130    10     2912     0.00     0.00       11     0.00     0.00       41        0        0       41
 2022 131    11     3317     0.00     0.00       14     0.00     0.00       53        0        0       53
 2022 132    12     3842     0.00     0.00       18     0.00     0.00       67        0        0       67
 2022 133    13     4098     0.00     0.00       22     0.00     0.00       82        0        0       82
 2022 134    14     3924     0.01     0.00       26     0.00     0.00       97        0        0       97
 2022 135    15     3845     0.01     0.00       30     0.00     0.00      111        0        0      111
 2022 136    16     3858     0.01     0.00       34     0.00     0.00      125        0        0      125
 2022 137    17     3571     0.01     0.00       38     0.00     0.00      138        0        0      138
 2022 138    18     3588     0.01     0.00       41     0.00     0.00      151        0        0      151
 2022 139    19     3892     0.01     0.00       45     0.00     0.00      165        0        0      166
 2022 140    20     4198     0.01     0.00       49     0.00     0.00      181        0        0      181
 2022 141    21     3747     0.01     0.00       53     0.00     0.00      195        0        0      195
 2022 142    22     2977     0.01     0.00       56     0.00     0.00      206        0        0      206
 2022 143    23     2020     0.01     0.00       58     0.00     0.00      213        0        0      213
 2022 144    24     1344     0.01     0.00       59     0.00     0.00      218        0        0      218
 2022 145    25      669     0.01     0.00       60     0.00     0.00      220        0        0      220
 2022 146    26      929     0.02     0.00       61     0.00     0.00      224        0        0      224
 2022 147    27     1519     0.02     0.00       62     0.00     0.00      229        0        0      229
 2022 148    28     2354     0.02     0.00       65     0.00     0.00      238        0        0      238
 2022 149    29     3103     0.02     0.00       68     0.00     0.00      249        0        0      249
 2022 150    30     3876     0.02     0.00       72     0.00     0.00      264        0        0      264
 2022 151    31     3961     0.02     0.00       76     0.00     0.00      278        0        0      278
 2022 152    32     3885     0.02     0.00       80     0.00     0.00      292        0        0      293
 2022 153    33     3524     0.02     0.00       83     0.00     0.00      305        0        0      305
 2022 154    34     3128     0.02     0.00       86     0.00     0.00      317        0        0      317
 2022 155    35     2837     0.03     0.00       89     0.00     0.00      327        0        0      327
 2022 156    36     3259     0.03     0.00       92     0.00     0.00      339        0        0      339
 2022 157    37     3696     0.03     0.00       96     0.00     0.00      353        0        0      353
 2022 158    38     4180     0.03     0.00      100     0.00     0.00      368        0        0      368
 2022 159    39     4366     0.02     0.00      105     0.00     0.00      384        0        0      384
 2022 160    40     4440     0.03     0.00      109     0.00     0.00      400        0        0      401
 2022 161    41     4455     0.03     0.00      114     0.00     0.00      417        0        0      417
 2022 162    42     4490     0.04     0.00      118     0.00     0.00      433        0        0      433
 2022 163    43     4783     0.04     0.00      123     0.00     0.00      451        0        0      451
 2022 164    44     5300     0.04     0.00      128     0.00     0.00      470        0        0      471
 2022 165    45     6178     0.05     0.00      134     0.00     0.00      493        0        0      493
 2022 166    46     6369     0.05     0.00      141     0.00     0.00      516        0        0      517
 2022 167    47     6443     0.05     0.00      147     0.00     0.00      540        0        0      540
 2022 168    48     6174     0.05     0.00      153     0.00     0.00      563        0        0      563
 2022 169    49     6380     0.06     0.00      160     0.00     0.00      586        0        0      586
 2022 170    50     6362     0.06     0.00      166     0.00     0.00      609        0        0      610
 2022 171    51     6764     0.06     0.00      173     0.00     0.00      634        0        0      635
 2022 172    52     7228     0.06     0.00      180     0.00     0.00      661        1        0      661
 2022 173    53     7087     0.05     0.00      187     0.00     0.00      687        1        0      687
 2022 174    54     6531     0.06     0.00      194     0.00     0.00      711        1        0      711
 2022 175    55     6309     0.07     0.00      200     0.00     0.00      734        1        0      734
 2022 176    56     5999     0.06     0.00      206     0.00     0.00      756        1        0      756
 2022 177    57     5394     0.06     0.00      211     0.00     0.00      776        1        0      776
 2022 178    58     5183     0.06     0.00      217     0.00     0.00      795        1        0      795
 2022 179    59     5320     0.07     0.00      222     0.00     0.00      814        1        0      815
 2022 180    60     5162     0.07     0.00      227     0.00     0.00      833        1        0      834
 2022 181    61     5405     0.08     0.00      232     0.00     0.00      853        1        0      854
 2022 182    62     5842     0.07     0.00      238     0.00     0.00      874        1        0      875
 2022 183    63     6409     0.07     0.00      245     0.00     0.00      898        1        0      899
 2022 184    64     6474     0.07     0.00      251     0.00     0.00      922        1        0      923
 2022 185    65     6717     0.08     0.00      258     0.00     0.00      946        1        0      947
 2022 186    66     6703     0.09     0.00      265     0.00     0.00      971        1        0      972
 2022 187    67     6810     0.09     0.00      271     0.00     0.00      996        1        0      997
 2022 188    68     6868     0.07     0.00      278     0.00     0.00     1021        1        0     1022
 2022 189    69     7018     0.08     0.00      285     0.00     0.00     1047        1        0     1048
 2022 190    70     6909     0.09     0.00      292     0.00     0.00     1072        1        0     1073
 2022 191    71     6906     0.10     0.00      299     0.00     0.00     1098        1        0     1099
 2022 192    72     7042     0.10     0.00      306     0.00     0.00     1123        1        0     1125
 2022 193    73     6895     0.09     0.00      313     0.00     0.00     1149        1        0     1150
 2022 194    74     6763     0.09     0.00      320     0.00     0.00     1174        1        0     1175
