*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 24, 2025 01:19:59

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2022 120     0   0.000    0.00       0    0.00
 2022 121     1   0.000    0.00       0    0.00
 2022 122     2   0.000    0.00       0    0.00
 2022 123     3   0.000    0.00       0    0.00
 2022 124     4   0.000    0.00       0    0.00
 2022 125     5   0.000    0.00       0    0.00
 2022 126     6   0.000    0.00       0    0.00
 2022 127     7   0.000    0.00       0    0.00
 2022 128     8   0.000    0.00       0    0.00
 2022 129     9   0.000    0.00       0    0.00
 2022 130    10   0.000    0.00       0    0.00
 2022 131    11   0.000    0.00       0    0.00
 2022 132    12   0.000    0.00       0    0.00
 2022 133    13   0.000    0.00       0    0.00
 2022 134    14   0.000    0.00       0    0.00
 2022 135    15   0.000    0.00       0    0.00
 2022 136    16   0.000    0.00       0    0.00
 2022 137    17   0.000    0.00       0    0.00
 2022 138    18   0.000    0.00       0    0.00
 2022 139    19   0.000    0.00       0    0.00
 2022 140    20   0.000    0.00       0    0.00
 2022 141    21   0.000    0.00       0    0.00
 2022 142    22   0.000    0.00       0    0.00
 2022 143    23   0.000    0.00       0    0.00
 2022 144    24   0.000    0.00       0    0.00
 2022 145    25   0.000    0.00       0    0.00
 2022 146    26   0.000    0.00       0    0.00
 2022 147    27   0.000    0.00       0    0.00
 2022 148    28   0.000    0.00       0    0.00
 2022 149    29   0.000    0.00       0    0.00
 2022 150    30   0.000    0.00       0    0.00
 2022 151    31   0.000    0.00       0    0.00
 2022 152    32   0.000    0.00       0    0.00
 2022 153    33   0.000    0.00       0    0.00
 2022 154    34   0.000    0.00       0    0.00
 2022 155    35   0.000    0.00       0    0.00
 2022 156    36   0.000    0.00       0    0.00
 2022 157    37   0.000    0.00       0    0.00
 2022 158    38   0.000    0.00       0    0.00
 2022 159    39   0.000    0.00       0    0.00
 2022 160    40   0.000    0.00       0    0.00
 2022 161    41   0.000    0.00       0    0.00
 2022 162    42   0.000    0.00       0    0.00
 2022 163    43   0.000    0.00       0    0.00
 2022 164    44   0.000    0.00       0    0.00
 2022 165    45   0.000    0.00       0    0.00
 2022 166    46   0.000    0.00       0    0.00
 2022 167    47   0.000    0.00       0    0.00
 2022 168    48   0.000    0.00       0    0.00
 2022 169    49   0.000    0.00       0    0.00
 2022 170    50   0.000    0.00       0    0.00
 2022 171    51   0.000    0.00       0    0.00
 2022 172    52   0.000    0.00       0    0.00
 2022 173    53   0.000    0.00       0    0.00
 2022 174    54   0.000    0.00       0    0.00
 2022 175    55   0.000    0.00       0    0.00
 2022 176    56   0.000    0.00       0    0.00
 2022 177    57   0.000    0.00       0    0.00
 2022 178    58   0.000    0.00       0    0.00
 2022 179    59   0.000    0.00       0    0.00
 2022 180    60   0.000    0.00       0    0.00
 2022 181    61   0.000    0.00       0    0.00
 2022 182    62   0.000    0.00       0    0.00
 2022 183    63   0.000    0.00       0    0.00
 2022 184    64   0.000    0.00       0    0.00
 2022 185    65   0.000    0.00       0    0.00
 2022 186    66   0.000    0.00       0    0.00
 2022 187    67   0.000    0.00       0    0.00
 2022 188    68   0.000    0.00       0    0.00
 2022 189    69   0.000    0.00       0    0.00
 2022 190    70   0.000    0.00       0    0.00
 2022 191    71   0.000    0.00       0    0.00
 2022 192    72   0.000    0.00       0    0.00
 2022 193    73   0.000    0.00       0    0.00
 2022 194    74   0.000    0.00       0    0.00
 2022 195    75   0.000    0.00       0    0.00
 2022 196    76   0.000    0.00       0    0.00
 2022 197    77   0.000    0.00       0    0.00
 2022 198    78   0.000    0.00       0    0.00
 2022 199    79   0.000    0.00       0    0.00
 2022 200    80   0.000    0.00       0    0.00
 2022 201    81   0.000    0.00       0    0.00
 2022 202    82   0.000    0.00       0    0.00
 2022 203    83   0.000    0.00       0    0.00
 2022 204    84   0.000    0.00       0    0.00
 2022 205    85   0.000    0.00       0    0.00
