*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 07, 2025 20:08:35

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 121     1     1191     0.00     0.00        1     0.00     0.00        4        0        0        4
 2022 122     2     1153     0.00     0.00        2     0.00     0.00        9        0        0        9
 2022 123     3      791     0.00     0.00        3     0.00     0.00       12        0        0       12
 2022 124     4      466     0.00     0.00        4     0.00     0.00       13        0        0       13
 2022 125     5      270     0.00     0.00        4     0.00     0.00       14        0        0       14
 2022 126     6      260     0.00     0.00        4     0.00     0.00       15        0        0       15
 2022 127     7      518     0.01     0.00        5     0.00     0.00       17        0        0       17
 2022 128     8     1350     0.00     0.00        6     0.00     0.00       22        0        0       22
 2022 129     9     2239     0.01     0.00        8     0.00     0.00       30        0        0       30
 2022 130    10     2912     0.00     0.00       11     0.00     0.00       41        0        0       41
 2022 131    11     3317     0.00     0.00       14     0.00     0.00       53        0        0       53
 2022 132    12     3842     0.00     0.00       18     0.00     0.00       67        0        0       67
 2022 133    13     4098     0.00     0.00       22     0.00     0.00       82        0        0       82
 2022 134    14     3924     0.01     0.00       26     0.00     0.00       97        0        0       97
 2022 135    15     3845     0.01     0.00       30     0.00     0.00      111        0        0      111
 2022 136    16     3858     0.01     0.00       34     0.00     0.00      125        0        0      125
 2022 137    17     3571     0.03     0.00       38     0.00     0.00      138        0        0      138
 2022 138    18     3605     0.06     0.00       41     0.00     0.00      151        0        0      151
 2022 139    19     3948     0.08     0.00       45     0.00     0.00      166        0        0      166
 2022 140    20     4264     0.10     0.00       49     0.00     0.00      181        0        0      182
 2022 141    21     3808     0.11     0.00       53     0.00     0.00      195        0        0      196
 2022 142    22     3039     0.12     0.00       56     0.00     0.00      207        0        0      207
 2022 143    23     2075     0.12     0.00       58     0.00     0.00      214        0        0      214
 2022 144    24     1393     0.01     0.00       60     0.00     0.00      219        0        0      220
 2022 145    25      730     0.01     0.00       60     0.00     0.00      222        0        0      222
 2022 146    26     1013     0.02     0.00       61     0.00     0.00      226        0        0      226
 2022 147    27     1619     0.02     0.00       63     0.00     0.00      232        0        0      232
 2022 148    28     2475     0.02     0.00       66     0.00     0.00      241        0        0      241
 2022 149    29     3238     0.02     0.00       69     0.00     0.00      253        0        0      253
 2022 150    30     4024     0.02     0.00       73     0.00     0.00      267        0        0      268
 2022 151    31     4098     0.02     0.00       77     0.00     0.00      282        0        0      283
 2022 152    32     4021     0.07     0.00       81     0.00     0.00      297        0        0      298
 2022 153    33     3682     0.14     0.00       85     0.00     0.00      311        0        0      311
 2022 154    34     3270     0.20     0.00       88     0.00     0.00      323        1        0      323
 2022 155    35     2958     0.21     0.00       91     0.00     0.00      333        1        0      334
 2022 156    36     3346     0.23     0.00       94     0.00     0.00      346        1        0      347
 2022 157    37     3740     0.24     0.00       98     0.00     0.00      359        1        0      360
 2022 158    38     4207     0.26     0.00      102     0.00     0.00      375        1        0      376
 2022 159    39     4476     0.10     0.00      107     0.00     0.00      391        1        0      392
 2022 160    40     4574     0.27     0.00      111     0.00     0.00      408        1        0      409
 2022 161    41     4571     0.35     0.00      116     0.00     0.00      425        1        0      426
 2022 162    42     4601     0.35     0.00      120     0.00     0.00      442        2        0      443
 2022 163    43     4886     0.36     0.00      125     0.00     0.00      460        2        0      461
 2022 164    44     5450     0.37     0.00      131     0.00     0.00      480        2        0      482
 2022 165    45     6210     0.38     0.00      137     0.00     0.00      503        2        0      505
 2022 166    46     6311     0.39     0.00      143     0.00     0.00      526        2        0      528
 2022 167    47     6277     0.40     0.00      150     0.01     0.00      549        2        0      551
 2022 168    48     5916     0.41     0.00      155     0.01     0.00      570        3        0      573
 2022 169    49     5974     0.42     0.00      161     0.01     0.00      592        3        0      595
 2022 170    50     5832     0.43     0.00      167     0.01     0.00      614        3        0      617
 2022 171    51     6080     0.44     0.00      173     0.01     0.00      636        3        0      639
 2022 172    52     6417     0.45     0.00      180     0.01     0.00      660        3        0      663
 2022 173    53     6233     0.45     0.00      186     0.01     0.00      682        4        0      686
 2022 174    54     5661     0.46     0.00      192     0.01     0.00      703        4        0      707
 2022 175    55     5344     0.46     0.00      197     0.01     0.00      723        4        0      727
 2022 176    56     5033     0.45     0.00      202     0.01     0.00      741        4        0      746
 2022 177    57     4504     0.46     0.00      207     0.01     0.00      758        4        0      762
 2022 178    58     4285     0.46     0.00      211     0.01     0.00      774        5        0      778
 2022 179    59     4297     0.45     0.00      215     0.01     0.00      789        5        0      794
 2022 180    60     4092     0.45     0.00      219     0.01     0.00      804        5        0      810
 2022 181    61     4193     0.45     0.00      223     0.01     0.00      820        5        0      825
 2022 182    62     4482     0.45     0.00      228     0.01     0.00      836        6        0      842
 2022 183    63     4811     0.45     0.00      233     0.01     0.00      854        6        0      860
 2022 184    64     5871     0.06     0.00      239     0.01     0.00      875        6        0      881
 2022 185    65     6296     0.11     0.00      245     0.01     0.00      899        6        0      904
 2022 186    66     6392     0.40     0.00      251     0.01     0.00      922        6        0      928
 2022 187    67     6736     0.11     0.00      258     0.01     0.00      947        6        0      953
 2022 188    68     6872     0.23     0.00      265     0.01     0.00      972        6        0      978
 2022 189    69     7063     0.10     0.00      272     0.01     0.00      998        6        0     1004
 2022 190    70     7274     0.39     0.00      279     0.01     0.00     1025        6        0     1031
 2022 191    71     7277     0.71     0.00      286     0.01     0.00     1051        7        0     1058
 2022 192    72     7241     0.72     0.00      294     0.02     0.00     1078        7        0     1085
 2022 193    73     7004     0.69     0.00      301     0.02     0.00     1104        7        0     1111
 2022 194    74     6759     0.66     0.00      307     0.02     0.00     1128        8        0     1136
