*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 07, 2025 20:08:35

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2022 120     0  298.30    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2022 121     1  297.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.93   0.00   0.00   0.00    0.00      0.00        0.00   -0.93    0.00    0.00    0.00
 2022 122     2  330.38    0.00    0.00   0.00   0.00  36.60   0.00    0.00   0.00   0.00   2.93   0.00   0.66   0.00   0.00   0.00    0.00      0.00       33.67   -0.66    0.00    0.00    0.00
 2022 123     3  314.48    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  12.65   0.00   0.00   3.25   0.00   0.00   0.00    0.00      0.00      -12.65   -3.25    0.00    0.00    0.00
 2022 124     4  319.12    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.67   0.00   0.00   0.00    0.00      0.00        5.30   -0.67    0.00    0.00    0.00
 2022 125     5  319.61    0.00    0.00   0.00   0.00   2.80   0.00    0.00   0.00   0.00   0.00   0.00   2.31   0.00   0.00   0.00   -0.00      0.00        2.80   -2.31    0.00    0.00    0.00
 2022 126     6  305.98    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   7.77   0.00   0.00   5.86   0.00   0.00   0.00   -0.00      0.00       -7.77   -5.86    0.00    0.00    0.00
 2022 127     7  312.29    0.00    0.00   0.00   0.00  11.70   0.00    0.00   0.00   0.00   0.00   0.00   5.39   0.00   0.00   0.00    0.00      0.00       11.70   -5.39    0.00    0.00    0.00
 2022 128     8  302.23    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   4.37   0.00   0.00   5.69   0.00   0.00   0.00    0.00      0.00       -4.37   -5.69    0.00    0.00    0.00
 2022 129     9  321.40    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.23   0.00   0.00   0.00   -0.00      0.00       25.40   -6.23    0.00    0.00    0.00
 2022 130    10  340.10    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.70   0.00   0.00   0.00    0.00      0.00       25.40   -6.70    0.00    0.00    0.00
 2022 131    11  359.21    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.29   0.00   0.00   0.00    0.00      0.00       25.40   -6.29    0.00    0.00    0.00
 2022 132    12  379.49    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.12   0.00   0.00   0.00    0.00      0.00       25.40   -5.12    0.00    0.00    0.00
 2022 133    13  399.05    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.85   0.00   0.00   0.00    0.00      0.00       25.40   -5.85    0.00    0.00    0.00
 2022 134    14  418.87    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.58   0.00   0.00   0.00   -0.00      0.00       25.40   -5.58    0.00    0.00    0.00
 2022 135    15  438.74    0.00    0.00   0.00  25.40   1.00   0.00    0.00   0.00   0.00   0.00   0.00   6.53   0.00   0.00   0.00   -0.00      0.00       26.40   -6.53    0.00    0.00    0.00
 2022 136    16  432.14    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   6.89   0.00   0.00   0.00   -0.00      0.00        0.30   -6.89    0.00    0.00    0.00
 2022 137    17  372.82    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  53.13   0.00   0.00   6.19   0.00   0.00   0.00   -0.00      0.00      -53.13   -6.19    0.00    0.00    0.00
 2022 138    18  336.64    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  29.61   0.00   0.00   6.56   0.02   0.00   0.00   -0.00      0.00      -29.61   -6.56   -0.02    0.00    0.00
 2022 139    19  315.66    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  15.49   0.00   0.00   5.47   0.03   0.00   0.00    0.00      0.00      -15.49   -5.47   -0.03    0.00    0.00
 2022 140    20  306.83    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   7.27   0.00   0.00   1.55   0.01   0.00   0.00    0.00      0.00       -7.27   -1.55   -0.01    0.00    0.00
 2022 141    21  300.25    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   3.97   0.00   0.00   2.59   0.02   0.00   0.00    0.00      0.00       -3.97   -2.59   -0.02    0.00    0.00
 2022 142    22  295.03    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   1.53   0.00   0.00   3.68   0.02   0.00   0.00   -0.00      0.00       -1.53   -3.68   -0.02    0.00    0.00
 2022 143    23  330.32    0.00    0.00   0.00  25.40  10.70   0.00    0.00   0.00   0.00   0.00   0.00   0.81   0.00   0.00   0.00   -0.00      0.00       36.10   -0.81   -0.00    0.00    0.00
 2022 144    24  356.22    0.00    0.00   0.00  25.40   2.30   0.00    0.00   0.00   0.00   0.00   0.00   1.80   0.00   0.00   0.00    0.00      0.00       27.70   -1.80   -0.00    0.00    0.00
 2022 145    25  375.51    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.10   0.01   0.00   0.00    0.00      0.00       25.40   -6.10   -0.01    0.00    0.00
 2022 146    26  393.79    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   7.10   0.02   0.00   0.00    0.00      0.00       25.40   -7.10   -0.02    0.00    0.00
 2022 147    27  411.87    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   7.29   0.03   0.00   0.00    0.00      0.00       25.40   -7.29   -0.03    0.00    0.00
 2022 148    28  430.72    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.50   0.05   0.00   0.00    0.00      0.00       25.40   -6.50   -0.05    0.00    0.00
 2022 149    29  450.15    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.20   0.00   0.00   5.67   0.10   0.00   0.00   -0.00      0.00       25.20   -5.67   -0.10    0.00    0.00
 2022 150    30  451.64    0.00    0.00   0.00   0.00   6.10   0.00    0.00   0.00   0.76   0.00   0.00   3.74   0.11   0.00   0.00    0.00      0.00        5.34   -3.74   -0.11    0.00    0.00
 2022 151    31  386.68    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  61.34   0.00   0.00   3.50   0.13   0.00   0.00    0.00      0.00      -61.34   -3.50   -0.13    0.00    0.00
 2022 152    32  346.64    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  35.35   0.00   0.00   4.49   0.19   0.00   0.00    0.00      0.00      -35.35   -4.49   -0.19    0.00    0.00
 2022 153    33  322.01    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  19.26   0.00   0.00   5.12   0.26   0.00   0.00    0.00      0.00      -19.26   -5.12   -0.26    0.00    0.00
 2022 154    34  306.70    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   9.52   0.00   0.00   5.47   0.32   0.00   0.00   -0.00      0.00       -9.52   -5.47   -0.32    0.00    0.00
 2022 155    35  296.78    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   4.02   0.00   0.00   5.46   0.43   0.00   0.00   -0.00      0.00       -4.02   -5.46   -0.43    0.00    0.00
 2022 156    36  291.03    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.77   0.00   0.00   4.58   0.40   0.00   0.00    0.00      0.00       -0.77   -4.58   -0.40    0.00    0.00
 2022 157    37  286.36    0.00    0.00   0.00   0.00   1.00   0.00    0.00   0.00   0.00   0.00   0.00   5.02   0.66   0.00   0.00   -0.00      0.00        1.00   -5.02   -0.66    0.00    0.00
 2022 158    38  296.40    0.00    0.00   0.00   0.00  12.20   0.00    0.00   0.00   0.00   0.00   0.00   1.92   0.24   0.00   0.00    0.00      0.00       12.20   -1.92   -0.24    0.00    0.00
 2022 159    39  289.62    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.89   0.89   0.00   0.00    0.00      0.00        0.00   -5.89   -0.89    0.00    0.00
 2022 160    40  285.40    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   3.91   0.61   0.00   0.00   -0.00      0.00        0.30   -3.91   -0.61    0.00    0.00
 2022 161    41  283.56    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.91   0.94   0.00   0.00    0.00      0.00        0.00   -0.91   -0.94    0.00    0.00
 2022 162    42  281.65    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.82   1.09   0.00   0.00   -0.00      0.00        0.00   -0.82   -1.09    0.00    0.00
 2022 163    43  279.74    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.74   1.17   0.00   0.00    0.00      0.00        0.00   -0.74   -1.17    0.00    0.00
 2022 164    44  277.29    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   1.79   0.00   0.00    0.00      0.00        0.00   -0.66   -1.79    0.00    0.00
 2022 165    45  275.39    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.58   1.32   0.00   0.00   -0.00      0.00        0.00   -0.58   -1.32    0.00    0.00
 2022 166    46  273.43    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.52   1.43   0.00   0.00    0.00      0.00        0.00   -0.52   -1.43    0.00    0.00
 2022 167    47  271.48    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.48   1.48   0.00   0.00   -0.00      0.00        0.00   -0.48   -1.48    0.00    0.00
 2022 168    48  269.06    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.44   1.98   0.00   0.00   -0.00      0.00        0.00   -0.44   -1.98    0.00    0.00
 2022 169    49  266.59    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.40   2.06   0.00   0.00    0.00      0.00        0.00   -0.40   -2.06    0.00    0.00
 2022 170    50  264.20    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.37   2.02   0.00   0.00    0.00      0.00        0.00   -0.37   -2.02    0.00    0.00
 2022 171    51  262.08    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.34   1.77   0.00   0.00    0.00      0.00        0.00   -0.34   -1.77    0.00    0.00
 2022 172    52  260.66    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.32   1.11   0.00   0.00    0.00      0.00        0.00   -0.32   -1.11    0.00    0.00
 2022 173    53  258.80    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.29   1.57   0.00   0.00    0.00      0.00        0.00   -0.29   -1.57    0.00    0.00
 2022 174    54  256.26    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.27   2.27   0.00   0.00   -0.00      0.00        0.00   -0.27   -2.27    0.00    0.00
 2022 175    55  254.49    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.27   1.80   0.00   0.00    0.00      0.00        0.30   -0.27   -1.80    0.00    0.00
 2022 176    56  252.59    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.26   1.64   0.00   0.00   -0.00      0.00        0.00   -0.26   -1.64    0.00    0.00
 2022 177    57  250.92    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.24   1.43   0.00   0.00    0.00      0.00        0.00   -0.24   -1.43    0.00    0.00
 2022 178    58  248.54    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.23   2.14   0.00   0.00   -0.00      0.00        0.00   -0.23   -2.14    0.00    0.00
 2022 179    59  246.25    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.21   2.09   0.00   0.00    0.00      0.00        0.00   -0.21   -2.09    0.00    0.00
 2022 180    60  243.60    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.20   2.45   0.00   0.00    0.00      0.00        0.00   -0.20   -2.45    0.00    0.00
 2022 181    61  241.67    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.18   1.74   0.00   0.00    0.00      0.00        0.00   -0.18   -1.74    0.00    0.00
 2022 182    62  239.72    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.17   1.79   0.00   0.00   -0.00      0.00        0.00   -0.17   -1.79    0.00    0.00
 2022 183    63  260.06    0.00    0.00   0.00   0.00  25.90   0.00    0.00   0.00   0.00   0.00   0.00   3.65   1.91   0.00   0.00   -0.00      0.00       25.90   -3.65   -1.91    0.00    0.00
 2022 184    64  261.33    0.00    0.00   0.00   0.00   8.10   0.00    0.00   0.00   0.00   0.00   0.00   4.48   2.35   0.00   0.00    0.00      0.00        8.10   -4.48   -2.35    0.00    0.00
 2022 185    65  253.24    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.25   2.84   0.00   0.00   -0.00      0.00        0.00   -5.25   -2.84    0.00    0.00
 2022 186    66  273.61    0.00    0.00   0.00   0.00  29.20   0.00    0.00   0.00   0.00   1.36   0.00   4.79   2.68   0.00   0.00   -0.00      0.00       27.84   -4.79   -2.68    0.00    0.00
 2022 187    67  271.22    0.00    0.00   0.00   0.00   1.30   0.00    0.00   0.00   0.00   0.00   0.00   2.34   1.35   0.00   0.00   -0.00      0.00        1.30   -2.34   -1.35    0.00    0.00
 2022 188    68  277.01    0.00    0.00   0.00   0.00  11.20   0.00    0.00   0.00   0.00   0.00   0.00   3.41   1.99   0.00   0.00    0.00      0.00       11.20   -3.41   -1.99    0.00    0.00
 2022 189    69  269.64    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.60   2.77   0.00   0.00    0.00      0.00        0.00   -4.60   -2.77    0.00    0.00
 2022 190    70  261.58    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.97   3.09   0.00   0.00   -0.00      0.00        0.00   -4.97   -3.09    0.00    0.00
 2022 191    71  254.54    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   5.12   3.42   0.00   0.00   -0.00      0.00        1.50   -5.12   -3.42    0.00    0.00
 2022 192    72  251.34    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.88   2.63   0.00   0.00    0.00      0.00        0.30   -0.88   -2.63    0.00    0.00
 2022 193    73  248.01    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.80   2.53   0.00   0.00    0.00      0.00        0.00   -0.80   -2.53    0.00    0.00
 2022 194    74  244.88    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.73   2.70   0.00   0.00    0.00      0.00        0.30   -0.73   -2.70    0.00    0.00
 2022 195    75  240.51    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   3.72   0.00   0.00    0.00      0.00        0.00   -0.66   -3.72    0.00    0.00
 2022 196    76  237.23    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.57   2.71   0.00   0.00    0.00      0.00        0.00   -0.57   -2.71    0.00    0.00
 2022 197    77  234.72    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.50   2.01   0.00   0.00   -0.00      0.00        0.00   -0.50   -2.01    0.00    0.00
 2022 198    78  231.62    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.46   2.64   0.00   0.00    0.00      0.00        0.00   -0.46   -2.64    0.00    0.00
 2022 199    79  227.80    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.42   3.40   0.00   0.00   -0.00      0.00        0.00   -0.42   -3.40    0.00    0.00
 2022 200    80  224.68    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.38   2.75   0.00   0.00    0.00      0.00        0.00   -0.38   -2.75    0.00    0.00
 2022 201    81  221.77    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.35   2.56   0.00   0.00   -0.00      0.00        0.00   -0.35   -2.56    0.00    0.00
 2022 202    82  232.14    0.00    0.00   0.00   0.00  17.30   0.00    0.00   0.00   0.00   0.00   0.00   4.12   2.81   0.00   0.00    0.00      0.00       17.30   -4.12   -2.81    0.00    0.00
 2022 203    83  224.84    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.56   2.73   0.00   0.00    0.00      0.00        0.00   -4.56   -2.73    0.00    0.00
 2022 204    84  218.25    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.13   2.47   0.00   0.00   -0.00      0.00        0.00   -4.13   -2.47    0.00    0.00
 2022 205    85  215.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.79   2.09   0.00   0.00    0.00      0.00        0.00   -0.79   -2.09    0.00    0.00
 2022 206    86  219.36    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.88   0.42   0.00   0.00   -0.00      0.00        5.30   -0.88   -0.42    0.00    0.00
 2022 207    87  215.50    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.64   1.22   0.00   0.00    0.00      0.00        0.00   -2.64   -1.22    0.00    0.00
 2022 208    88  235.65    0.00    0.00   0.00   0.00  24.40   0.00    0.00   0.00   0.00   0.17   0.00   2.84   1.25   0.00   0.00   -0.00      0.00       24.23   -2.84   -1.25    0.00    0.00
 2022 209    89  231.40    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   3.20   1.35   0.00   0.00    0.00      0.00        0.30   -3.20   -1.35    0.00    0.00
 2022 210    90  227.57    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.73   1.10   0.00   0.00   -0.00      0.00        0.00   -2.73   -1.10    0.00    0.00
 2022 211    91  221.14    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.51   1.92   0.00   0.00   -0.00      0.00        0.00   -4.51   -1.92    0.00    0.00
 2022 212    92  218.73    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.83   1.58   0.00   0.00    0.00      0.00        0.00   -0.83   -1.58    0.00    0.00
 2022 213    93  215.95    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.75   2.03   0.00   0.00    0.00      0.00        0.00   -0.75   -2.03    0.00    0.00
 2022 214    94  214.66    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   0.73   2.06   0.00   0.00    0.00      0.00        1.50   -0.73   -2.06    0.00    0.00
 2022 215    95  212.26    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.71   1.70   0.00   0.00    0.00      0.00        0.00   -0.71   -1.70    0.00    0.00
 2022 216    96  209.99    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.63   1.64   0.00   0.00   -0.00      0.00        0.00   -0.63   -1.64    0.00    0.00
 2022 217    97  207.56    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.55   1.87   0.00   0.00    0.00      0.00        0.00   -0.55   -1.87    0.00    0.00
 2022 218    98  205.78    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.49   1.30   0.00   0.00    0.00      0.00        0.00   -0.49   -1.30    0.00    0.00
 2022 219    99  205.74    0.00    0.00   0.00   0.00   0.80   0.00    0.00   0.00   0.00   0.00   0.00   0.48   0.36   0.00   0.00    0.00      0.00        0.80   -0.48   -0.36    0.00    0.00
 2022 220   100  203.91    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.48   1.35   0.00   0.00   -0.00      0.00        0.00   -0.48   -1.35    0.00    0.00
 2022 221   101  202.06    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.44   1.42   0.00   0.00   -0.00      0.00        0.00   -0.44   -1.42    0.00    0.00
