*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAR 13, 2025 05:16:48

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 121     1     1191     0.00     0.00        1     0.00     0.00        4        0        0        4
 2022 122     2     1153     0.00     0.00        2     0.00     0.00        9        0        0        9
 2022 123     3      791     0.00     0.00        3     0.00     0.00       12        0        0       12
 2022 124     4      466     0.00     0.00        4     0.00     0.00       13        0        0       13
 2022 125     5      270     0.00     0.00        4     0.00     0.00       14        0        0       14
 2022 126     6      260     0.00     0.00        4     0.00     0.00       15        0        0       15
 2022 127     7      518     0.01     0.00        5     0.00     0.00       17        0        0       17
 2022 128     8     1350     0.00     0.00        6     0.00     0.00       22        0        0       22
 2022 129     9     2239     0.01     0.00        8     0.00     0.00       30        0        0       30
 2022 130    10     2912     0.02     0.00       11     0.00     0.00       41        0        0       41
 2022 131    11     3290     0.02     0.00       14     0.00     0.00       53        0        0       53
 2022 132    12     3792     0.03     0.00       18     0.00     0.00       67        0        0       67
 2022 133    13     4038     0.04     0.00       22     0.00     0.00       82        0        0       82
 2022 134    14     3864     0.05     0.00       26     0.00     0.00       96        0        0       96
 2022 135    15     3790     0.05     0.00       30     0.00     0.00      110        0        0      110
 2022 136    16     3810     0.06     0.00       34     0.00     0.00      124        0        0      124
 2022 137    17     3537     0.07     0.00       37     0.00     0.00      137        0        0      137
 2022 138    18     3566     0.08     0.00       41     0.00     0.00      150        0        0      150
 2022 139    19     3884     0.09     0.00       45     0.00     0.00      164        0        0      164
 2022 140    20     4204     0.10     0.00       49     0.00     0.00      180        0        0      180
 2022 141    21     3766     0.11     0.00       53     0.00     0.00      193        0        0      194
 2022 142    22     3010     0.12     0.00       56     0.00     0.00      204        0        0      205
 2022 143    23     2057     0.12     0.00       58     0.00     0.00      212        0        0      212
 2022 144    24     1382     0.08     0.00       59     0.00     0.00      217        0        0      218
 2022 145    25      714     0.09     0.00       60     0.00     0.00      220        1        0      220
 2022 146    26      989     0.15     0.00       61     0.00     0.00      223        1        0      224
 2022 147    27     1584     0.16     0.00       62     0.00     0.00      229        1        0      230
 2022 148    28     2427     0.16     0.00       65     0.00     0.00      238        1        0      239
 2022 149    29     3186     0.16     0.00       68     0.00     0.00      250        1        0      251
 2022 150    30     3972     0.17     0.00       72     0.00     0.00      264        1        0      265
 2022 151    31     4057     0.14     0.00       76     0.00     0.00      279        1        0      280
 2022 152    32     3992     0.19     0.00       80     0.00     0.00      294        1        0      295
 2022 153    33     3618     0.20     0.00       84     0.00     0.00      307        1        0      308
 2022 154    34     3211     0.20     0.00       87     0.00     0.00      319        1        0      320
 2022 155    35     2886     0.20     0.00       90     0.00     0.00      329        1        0      331
 2022 156    36     3280     0.21     0.00       93     0.00     0.00      342        1        0      343
 2022 157    37     3685     0.21     0.00       97     0.00     0.00      355        2        0      357
 2022 158    38     4183     0.22     0.00      101     0.00     0.00      370        2        0      372
 2022 159    39     4456     0.09     0.00      105     0.00     0.00      387        2        0      388
 2022 160    40     4558     0.23     0.00      110     0.00     0.00      403        2        0      405
 2022 161    41     4552     0.28     0.00      114     0.00     0.00      420        2        0      422
 2022 162    42     4581     0.28     0.00      119     0.00     0.00      437        2        0      439
 2022 163    43     4840     0.28     0.00      124     0.00     0.00      455        2        0      457
 2022 164    44     5390     0.29     0.00      129     0.00     0.00      475        2        0      477
 2022 165    45     6134     0.30     0.00      135     0.01     0.00      497        2        0      499
 2022 166    46     6221     0.31     0.00      142     0.01     0.00      520        3        0      522
 2022 167    47     6154     0.32     0.00      148     0.01     0.00      542        3        0      545
 2022 168    48     5767     0.33     0.00      154     0.01     0.00      564        3        0      567
 2022 169    49     5779     0.33     0.00      159     0.01     0.00      585        3        0      588
 2022 170    50     5601     0.34     0.00      165     0.01     0.00      605        3        0      609
 2022 171    51     5857     0.35     0.00      171     0.01     0.00      627        3        0      630
 2022 172    52     6129     0.36     0.00      177     0.01     0.00      649        4        0      653
 2022 173    53     5976     0.37     0.00      183     0.01     0.00      671        4        0      675
 2022 174    54     5384     0.37     0.00      188     0.01     0.00      691        4        0      695
 2022 175    55     5096     0.38     0.00      193     0.01     0.00      710        4        0      714
 2022 176    56     4779     0.38     0.00      198     0.01     0.00      727        4        0      732
 2022 177    57     4220     0.38     0.00      202     0.01     0.00      743        4        0      747
 2022 178    58     3994     0.38     0.00      206     0.01     0.00      757        5        0      762
 2022 179    59     3980     0.39     0.00      210     0.01     0.00      772        5        0      777
 2022 180    60     3781     0.39     0.00      214     0.01     0.00      786        5        0      791
 2022 181    61     3863     0.39     0.00      218     0.01     0.00      800        5        0      805
 2022 182    62     4116     0.39     0.00      222     0.01     0.00      815        5        0      821
 2022 183    63     4431     0.39     0.00      227     0.01     0.00      831        6        0      837
 2022 184    64     5552     0.05     0.00      232     0.01     0.00      852        6        0      857
 2022 185    65     6037     0.10     0.00      238     0.01     0.00      874        6        0      880
 2022 186    66     6126     0.39     0.00      244     0.01     0.00      896        6        0      902
 2022 187    67     6472     0.10     0.00      251     0.01     0.00      920        6        0      926
 2022 188    68     6640     0.22     0.00      257     0.01     0.00      945        6        0      951
 2022 189    69     6822     0.10     0.00      264     0.01     0.00      970        6        0      976
 2022 190    70     7048     0.37     0.00      271     0.01     0.00      996        6        0     1002
 2022 191    71     7045     0.68     0.00      278     0.01     0.00     1021        6        0     1028
 2022 192    72     6960     0.65     0.00      285     0.01     0.00     1047        7        0     1054
 2022 193    73     6706     0.62     0.00      292     0.02     0.00     1072        7        0     1079
 2022 194    74     6390     0.61     0.00      298     0.02     0.00     1095        7        0     1102
