*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:01:04

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2023 122    13     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 123    14     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 124    15     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 125    16     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 126    17     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 127    18     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 128    19     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 129    20     7    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 130    21     8    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2023 131    22     9    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   2.20    0.00    0.00
 2023 132    23    10    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   2.19    0.00    0.00
 2023 133    24    11    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   2.14    0.00    0.00
 2023 134    25    12    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   2.14    0.00    0.00
 2023 135    26    13    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   2.14    0.00    0.00
 2023 136    27    14    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   2.02    0.00    0.00
 2023 137    28    15    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   1.89    0.00    0.00
 2023 138    29    16    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   1.80    0.00    0.00
 2023 139    30    17    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   1.66    0.00    0.00
 2023 140    31    18    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   1.50    0.00    0.00
 2023 141    32    19    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   1.39    0.00    0.00
 2023 142    33    20    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   1.28    0.00    0.00
 2023 143    34    21    1.4    0.0    1.4   0.00   4.40    0.0    0.7    0.7    4.4   4.40   1.13    0.00    0.00
 2023 144    35    22    1.4    0.0    1.4   0.00   4.04    0.0    0.7    0.7    4.0   4.04   1.24    0.00    0.00
 2023 145    36    23    1.4    0.0    1.4   0.00   3.58    0.1    0.8    0.6    3.6   3.58   1.19    0.00    0.00
 2023 146    37    24    1.6    0.0    1.6   0.00   3.64    0.3    1.0    0.6    3.6   3.64   1.08    0.00    0.01
 2023 147    38    25    1.8    0.0    1.8   0.00   3.48    0.7    1.3    0.6    3.5   3.48   1.24    0.00    0.01
 2023 148    39    26    2.1    0.0    2.1   0.00   3.52    1.0    1.5    0.6    3.5   3.52   1.23    0.00    0.01
 2023 149    40    27    2.3    0.0    2.3   0.00   3.27    1.4    1.8    0.5    3.3   3.27   1.20    0.00    0.02
 2023 150    41    28    2.6    0.0    2.6   0.00   3.05    1.7    2.1    0.5    3.0   3.05   1.12    0.00    0.02
 2023 151    42    29    2.8    0.0    2.8   0.00   2.83    2.1    2.3    0.5    2.8   2.83   1.04    0.00    0.02
 2023 152    43    30    3.2    0.0    3.2   0.00   2.81    2.5    2.7    0.5    2.8   2.81   1.03    0.00    0.03
 2023 153    44    31    3.5    0.0    3.5   0.00   2.96    2.9    3.0    0.5    3.0   2.96   1.00    0.00    0.03
 2023 154    45    32    3.7    0.0    3.7   0.00   2.85    3.2    3.2    0.5    2.8   2.85   0.96    0.00    0.04
 2023 155    46    33    3.7    0.0    3.7   0.00   2.56    3.2    3.3    0.4    2.6   2.56   0.80    0.00    0.05
 2023 156    47    34    3.8    0.0    3.8   0.00   2.34    3.4    3.4    0.4    2.3   2.34   0.72    0.00    0.05
 2023 157    48    35    6.9    0.0    6.9   0.00   3.91    8.1    6.3    0.6    3.9   3.91   1.31    0.00    0.06
 2023 158    49    36    8.0    0.0    8.0   0.00   3.80    9.4    7.4    0.6    3.8   3.80   1.24    0.00    0.07
 2023 159    50    37    9.4    0.0    9.4   0.00   3.75   11.3    8.8    0.6    3.8   3.75   1.25    0.00    0.09
 2023 160    51    38   10.8    0.0   10.8   0.00   3.66   13.0   10.2    0.6    3.7   3.66   1.19    0.00    0.11
 2023 161    52    39   12.1    0.0   12.1   0.00   3.60   14.9   11.5    0.6    3.6   3.60   1.21    0.00    0.13
