*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:01:04

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2023 109     0  425.29    0.00    0.00   0.87   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 110     1  425.15    0.00    0.00   0.30   0.00   0.00   0.00    0.00   0.58   0.00   0.00   0.00   0.14   0.00   0.00   0.00    0.00      0.00        0.00   -0.00    0.00    0.00    0.00
 2023 111     2  425.15    0.00    0.00   0.93   0.00   0.00   0.87    0.00   0.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 112     3  425.15    0.00    0.00   0.18   0.00   0.00   0.00    0.00   0.75   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00   -0.00    0.00    0.00    0.00
 2023 113     4  425.11    0.00    0.00   0.03   0.00   0.00   0.00    0.00   0.14   0.00   0.00   0.00   0.03   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 114     5  424.95    0.00    0.00   0.01   0.00   0.00   0.00    0.00   0.03   0.00   0.00   0.00   0.16   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 115     6  424.81    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.01   0.00   0.00   0.00   0.14   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 116     7  424.61    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.20   0.00   0.00   0.00   -0.00      0.00        0.00   -0.00    0.00    0.00    0.00
 2023 117     8  424.41    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.20   0.00   0.00   0.00   -0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 118     9  424.26    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.16   0.00   0.00   0.00    0.00      0.00        0.00   -0.00    0.00    0.00    0.00
 2023 119    10  424.01    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.25   0.00   0.00   0.00    0.00      0.00        0.00   -0.00    0.00    0.00    0.00
 2023 120    11  423.78    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.23   0.00   0.00   0.00   -0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 121    12  423.55    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.23   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 122    13  423.31    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.24   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 123    14  423.07    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.25   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 124    15  436.07    0.00    0.00   3.50   0.00  16.80   0.00    0.00   0.00   0.00   0.00   0.00   0.30   0.00   0.00   0.00    0.00      0.00       13.30    0.00    0.00    0.00    0.00
 2023 125    16  450.57    0.00    0.00   0.92   0.00  14.50   0.00    0.00   2.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00       14.50    0.00    0.00    0.00    0.00
 2023 126    17  450.58    0.00    0.00   0.46   0.00   0.30   0.00    0.00   0.74   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00        0.01    0.00    0.00    0.00    0.00
 2023 127    18  450.60    0.00    0.00   0.37   0.00   0.30   0.00    0.00   0.37   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.01    0.00    0.00    0.00    0.00
 2023 128    19  450.58    0.00    0.00   0.07   0.00   0.00   0.00    0.00   0.30   0.00   0.00   0.00   0.01   0.00   0.00   0.00   -0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2023 129    20  450.47    0.00    0.00   2.67   0.00   2.80   0.00    0.00   0.06   0.00   0.00   0.00   0.25   0.00   0.00   0.00   -0.00      0.00        0.14    0.00    0.00    0.00    0.00
 2023 130    21  471.99    0.00    0.00   1.71   0.00  22.40   0.00    0.00   1.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00       21.52    0.00    0.00    0.00    0.00
 2023 131    22  489.84    0.00    0.00   3.57   0.00  21.10   0.00    0.00   1.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00       17.86   -0.00    0.00    0.00    0.00
 2023 132    23  513.13    0.00    0.00   2.60   0.00  24.60   0.00    0.00   2.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00       23.29   -0.00   -0.00    0.00    0.00
 2023 133    24  513.18    0.00    0.00   1.45   0.00   1.00   0.00    0.00   2.10   0.00   0.00   0.00   0.00   0.01   0.00   0.00    0.00      0.00        0.05   -0.00   -0.01    0.00    0.00
 2023 134    25  513.19    0.00    0.00   0.90   0.00   0.30   0.00    0.00   0.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00        0.01   -0.00   -0.00    0.00    0.00
 2023 135    26  513.20    0.00    0.00   0.46   0.00   0.30   0.00    0.00   0.73   0.00   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00        0.01    0.00   -0.00    0.00    0.00
 2023 136    27  505.85    0.00    0.00   0.09   0.00   0.00   0.00    0.00   0.37   7.23   0.00   0.00   0.10   0.01   0.00   0.00    0.00      0.00       -7.23   -0.00   -0.01    0.00    0.00
 2023 137    28  505.56    0.00    0.00   3.50   0.00   4.30   0.00    0.00   0.07   0.69   0.00   0.00   0.39   0.02   0.00   0.00    0.00      0.00        0.12    0.00   -0.02    0.00    0.00
 2023 138    29  498.84    0.00    0.00   0.67   0.00   0.00   0.00    0.00   2.83   6.70   0.00   0.00   0.00   0.02   0.00   0.00   -0.00      0.00       -6.70   -0.00   -0.02    0.00    0.00
 2023 139    30  497.44    0.00    0.00   0.13   0.00   0.00   0.00    0.00   0.54   1.37   0.00   0.00   0.00   0.03   0.00   0.00    0.00      0.00       -1.37    0.00   -0.03    0.00    0.00
 2023 140    31  497.04    0.00    0.00   0.02   0.00   0.00   0.00    0.00   0.10   0.00   0.00   0.00   0.37   0.03   0.00   0.00    0.00      0.00        0.00    0.00   -0.03    0.00    0.00
 2023 141    32  496.54    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.02   0.00   0.00   0.00   0.46   0.03   0.00   0.00   -0.00      0.00        0.00    0.00   -0.03    0.00    0.00
 2023 142    33  496.01    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.49   0.04   0.00   0.00    0.00      0.00        0.00    0.00   -0.04    0.00    0.00
 2023 143    34  495.47    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.48   0.06   0.00   0.00    0.00      0.00        0.00   -0.00   -0.06    0.00    0.00
 2023 144    35  494.87    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.51   0.09   0.00   0.00   -0.00      0.00        0.00   -0.00   -0.09    0.00    0.00
 2023 145    36  494.59    0.00    0.00   3.50   0.00   3.80   0.00    0.00   0.00   0.00   0.00   0.00   0.47   0.12   0.00   0.00    0.00      0.00        0.30    0.00   -0.12    0.00    0.00
 2023 146    37  515.99    0.00    0.00   2.19   0.00  22.10   0.00    0.00   1.31   0.65   0.00   0.00   0.00   0.05   0.00   0.00    0.00      0.00       21.45    0.00   -0.05    0.00    0.00
 2023 147    38  515.08    0.00    0.00   1.85   0.00   1.50   0.00    0.00   1.77   0.79   0.00   0.00   0.00   0.19   0.00   0.00   -0.00      0.00       -0.72    0.00   -0.19    0.00    0.00
 2023 148    39  541.82    0.00    0.00   3.58   0.00  31.50   0.00    0.00   1.49   1.33   0.00   0.00   0.00   0.20   0.00   0.00    0.00      0.00       26.95    0.00   -0.20    0.00    0.00
 2023 149    40  541.12    0.00    0.00   2.10   0.00   3.30   0.00    0.00   2.89   2.32   0.00   0.00   0.00   0.28   0.00   0.00    0.00      0.00       -0.43    0.00   -0.28    0.00    0.00
 2023 150    41  512.45    0.00    0.00   0.40   0.00   0.00   0.00    0.00   1.70  28.31   0.00   0.00   0.00   0.36   0.00   0.00   -0.00      0.00      -28.31    0.00   -0.36    0.00    0.00
 2023 151    42  500.68    0.00    0.00   0.08   0.00   0.00   0.00    0.00   0.33  11.11   0.00   0.00   0.23   0.43   0.00   0.00   -0.00      0.00      -11.11    0.00   -0.43    0.00    0.00
 2023 152    43  497.12    0.00    0.00   0.01   0.00   0.00   0.00    0.00   0.06   2.93   0.00   0.00   0.29   0.32   0.00   0.00    0.00      0.00       -2.93    0.00   -0.32    0.00    0.00
 2023 153    44  496.43    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.01   0.00   0.00   0.00   0.33   0.36   0.00   0.00    0.00      0.00        0.00   -0.00   -0.36    0.00    0.00
 2023 154    45  518.44    0.00    0.00   3.50   0.00  26.70   0.00    0.00   0.00   0.52   0.00   0.00   0.31   0.36   0.00   0.00    0.00      0.00       22.68    0.00   -0.36    0.00    0.00
 2023 155    46  503.84    0.00    0.00   0.67   0.00   0.00   0.00    0.00   2.83  13.96   0.00   0.00   0.00   0.64   0.00   0.00    0.00      0.00      -13.96    0.00   -0.64    0.00    0.00
 2023 156    47  503.74    0.00    0.00   3.53   0.00   4.60   0.00    0.00   0.54   0.59   0.00   0.00   0.00   0.71   0.00   0.00   -0.00      0.00        0.61    0.00   -0.71    0.00    0.00
 2023 157    48  498.48    0.00    0.00   0.68   0.00   0.00   0.00    0.00   2.85   4.50   0.00   0.00   0.00   0.76   0.00   0.00    0.00      0.00       -4.50    0.00   -0.76    0.00    0.00
 2023 158    49  496.77    0.00    0.00   0.13   0.00   0.00   0.00    0.00   0.55   0.88   0.00   0.00   0.00   0.83   0.00   0.00    0.00      0.00       -0.88    0.00   -0.83    0.00    0.00
 2023 159    50  495.34    0.00    0.00   0.03   0.00   0.00   0.00    0.00   0.11   0.00   0.00   0.00   0.43   1.00   0.00   0.00    0.00      0.00        0.00   -0.00   -1.00    0.00    0.00
 2023 160    51  494.57    0.00    0.00   3.50   0.00   4.10   0.00    0.00   0.02   0.00   0.00   0.00   0.41   0.96   0.00   0.00    0.00      0.00        0.60    0.00   -0.96    0.00    0.00
 2023 161    52  493.47    0.00    0.00   0.67   0.00   0.00   0.00    0.00   2.83   0.00   0.00   0.00   0.00   1.10   0.00   0.00   -0.00      0.00        0.00   -0.00   -1.10    0.00    0.00
 2023 162    53  492.37    0.00    0.00   0.13   0.00   0.00   0.00    0.00   0.54   0.00   0.00   0.00   0.00   1.10   0.00   0.00   -0.00      0.00        0.00    0.00   -1.10    0.00    0.00
 2023 163    54  490.94    0.00    0.00   0.02   0.00   0.00   0.00    0.00   0.10   0.00   0.00   0.00   0.26   1.18   0.00   0.00   -0.00      0.00        0.00   -0.00   -1.18    0.00    0.00
 2023 164    55  489.12    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.02   0.00   0.00   0.00   0.39   1.43   0.00   0.00   -0.00      0.00        0.00   -0.00   -1.43    0.00    0.00
 2023 165    56  487.26    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.39   1.47   0.00   0.00    0.00      0.00        0.00   -0.00   -1.47    0.00    0.00
 2023 166    57  485.26    0.00    0.00   0.29   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.39   1.63   0.00   0.00    0.00      0.00        0.01    0.00   -1.63    0.00    0.00
 2023 167    58  483.59    0.00    0.00   0.05   0.00   0.00   0.00    0.00   0.23   0.00   0.00   0.00   0.09   1.58   0.00   0.00   -0.00      0.00        0.00    0.00   -1.58    0.00    0.00
 2023 168    59  481.56    0.00    0.00   0.49   0.00   0.50   0.00    0.00   0.04   0.00   0.00   0.00   0.28   1.78   0.00   0.00   -0.00      0.00        0.02   -0.00   -1.78    0.00    0.00
 2023 169    60  479.35    0.00    0.00   0.09   0.00   0.00   0.00    0.00   0.39   0.00   0.00   0.00   0.00   2.21   0.00   0.00   -0.00      0.00        0.00   -0.00   -2.21    0.00    0.00
 2023 170    61  476.45    0.00    0.00   0.02   0.00   0.00   0.00    0.00   0.08   0.00   0.00   0.00   0.32   2.58   0.00   0.00    0.00      0.00        0.00   -0.00   -2.58    0.00    0.00
 2023 171    62  474.84    0.00    0.00   0.29   0.00   0.30   0.00    0.00   0.01   0.00   0.00   0.00   0.17   1.46   0.00   0.00    0.00      0.00        0.01    0.00   -1.46    0.00    0.00
 2023 172    63  472.67    0.00    0.00   2.43   0.00   2.50   0.00    0.00   0.23   0.00   0.00   0.00   0.01   2.28   0.00   0.00    0.00      0.00        0.12   -0.00   -2.28    0.00    0.00
 2023 173    64  493.13    0.00    0.00   2.10   0.00  23.90   0.00    0.00   1.64   0.00   0.00   0.00   0.00   2.14   0.00   0.00    0.00      0.00       22.60   -0.00   -2.14    0.00    0.00
 2023 174    65  495.29    0.00    0.00   3.44   0.00   7.90   0.00    0.00   1.69   0.00   0.00   0.00   0.00   2.70   0.00   0.00    0.00      0.00        4.86   -0.00   -2.70    0.00    0.00
 2023 175    66  491.95    0.00    0.00   2.42   0.00   1.30   0.00    0.00   2.26   0.00   0.00   0.00   0.00   3.40   0.00   0.00   -0.00      0.00        0.06    0.00   -3.40    0.00    0.00
 2023 176    67  488.55    0.00    0.00   0.47   0.00   0.00   0.00    0.00   1.96   0.00   0.00   0.00   0.00   3.40   0.00   0.00   -0.00      0.00        0.00    0.00   -3.40    0.00    0.00
 2023 177    68  485.16    0.00    0.00   0.09   0.00   0.00   0.00    0.00   0.38   0.00   0.00   0.00   0.00   3.39   0.00   0.00   -0.00      0.00        0.00    0.00   -3.39    0.00    0.00
