*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:03:53

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS   SRAA  TMAXA  TMINA    REFA    EOAA    EOPA    EOSA    ETAA    EPAA    ESAA    EFAA    EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    KCAA    KBSA    KEAA
 2023 110     1  18.50  12.10   1.70   1.616   1.945   0.000   1.945   0.721   0.000   0.143   0.000   0.578    1.95    0.72    0.00    0.14    0.00    0.58   0.446   0.000   0.446 
 2023 111     2  24.00   9.80  -1.60   1.453   1.751   0.000   1.751   0.240   0.000   0.000   0.000   0.240    3.70    0.96    0.00    0.14    0.00    0.82   0.165   0.000   0.165 
 2023 112     3  24.60   8.50  -5.20   1.377   1.660   0.000   1.660   0.753   0.000   0.000   0.000   0.753    5.36    1.71    0.00    0.14    0.00    1.57   0.547   0.000   0.547 
 2023 113     4  23.60  14.20  -9.30   1.316   1.586   0.000   1.586   0.179   0.000   0.034   0.000   0.145    6.94    1.89    0.00    0.18    0.00    1.72   0.136   0.000   0.136 
 2023 114     5  19.50  19.10  -4.10   1.384   1.668   0.000   1.668   0.188   0.000   0.160   0.000   0.028    8.61    2.08    0.00    0.34    0.00    1.74   0.136   0.000   0.136 
 2023 115     6  10.90  12.50   1.60   1.085   1.302   0.000   1.302   0.147   0.000   0.141   0.000   0.005    9.91    2.23    0.00    0.48    0.00    1.75   0.135   0.000   0.135 
 2023 116     7  16.80  17.10   5.40   1.474   1.773   0.000   1.773   0.200   0.000   0.199   0.000   0.001   11.69    2.43    0.00    0.68    0.00    1.75   0.136   0.000   0.136 
 2023 117     8  14.90  21.00   4.10   1.455   1.753   0.000   1.753   0.198   0.000   0.197   0.000   0.000   13.44    2.63    0.00    0.88    0.00    1.75   0.136   0.000   0.136 
 2023 118     9  12.80  11.90   0.10   1.165   1.402   0.000   1.402   0.158   0.000   0.158   0.000   0.000   14.84    2.78    0.00    1.03    0.00    1.75   0.136   0.000   0.136 
 2023 119    10  26.00  20.40   0.80   1.831   2.207   0.000   2.207   0.249   0.000   0.249   0.000   0.000   17.05    3.03    0.00    1.28    0.00    1.75   0.136   0.000   0.136 
 2023 120    11  26.80  15.10  -0.10   1.709   2.060   0.000   2.060   0.232   0.000   0.232   0.000   0.000   19.11    3.26    0.00    1.51    0.00    1.75   0.136   0.000   0.136 
 2023 121    12  27.20  18.90  -5.30   1.659   2.000   0.000   2.000   0.225   0.000   0.225   0.000   0.000   21.11    3.49    0.00    1.74    0.00    1.75   0.136   0.000   0.136 
 2023 122    13  27.40  19.70  -2.60   1.746   2.105   0.000   2.105   0.237   0.000   0.237   0.000   0.000   23.21    3.73    0.00    1.98    0.00    1.75   0.136   0.000   0.136 
