*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:03:53

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183     0-5    5-15   15-23   23-31   31-46   46-61   61-91  91-106 106-122 122-183
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
 2023 110     1    0.00    0.00    0.00    0.00     0.3   0.000   0.000   0.000   0.001     0.0     0.0     0.0     0.0     291    0.00    0.29    0.00    0.74     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      8.     15.     12.     11.     22.     21.     53.     26.     27.     48.     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.1     0.1     0.1
 2023 111     2    0.00    0.00    0.00    0.00     0.5   0.000   0.001   0.000   0.001     0.0     0.0     0.0     0.0     258    0.00    0.26    0.00    0.65     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      8.     15.     12.     11.     20.     19.     46.     22.     23.     41.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1
 2023 112     3    0.00    0.00    0.00    0.00     0.8   0.000   0.001   0.000   0.002     0.0     0.0     0.0     0.0     220    0.00    0.22    0.00    0.55     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      7.     14.     11.     10.     18.     17.     38.     18.     19.     34.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1
 2023 113     4    0.00    0.00    0.00    0.00     0.9   0.000   0.001   0.000   0.002     0.0     0.0     0.0     0.0     181    0.00    0.18    0.00    0.45     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      6.     12.      9.      9.     15.     14.     30.     14.     15.     28.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1
 2023 114     5    0.00    0.00    0.00    0.00     1.1   0.000   0.001   0.000   0.003     0.0     0.0     0.0     0.0     148    0.00    0.15    0.00    0.37     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      5.     10.      7.      7.     12.     11.     24.     12.     12.     23.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1
 2023 115     6    0.00    0.00    0.00    0.00     1.2   0.000   0.001   0.000   0.003     0.0     0.0     0.0     0.0     129    0.00    0.13    0.00    0.32     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.      9.      6.      6.     10.     10.     21.     10.     11.     20.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1
 2023 116     7    0.00    0.00    0.00    0.00     1.3   0.000   0.001   0.000   0.003     0.0     0.0     0.0     0.0     119    0.00    0.12    0.00    0.29     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.      8.      6.      6.     10.      9.     19.      9.     10.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1
 2023 117     8    0.00    0.00    0.00    0.00     1.5   0.000   0.001   0.000   0.004     0.0     0.0     0.0     0.0     120    0.00    0.12    0.00    0.29     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.      8.      6.      6.     10.     10.     19.      9.     10.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1
 2023 118     9    0.00    0.00    0.00    0.00     1.6   0.000   0.002   0.000   0.004     0.0     0.0     0.0     0.0     126    0.00    0.13    0.00    0.31     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      5.      9.      7.      7.     11.     10.     20.      9.     10.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1
 2023 119    10    0.00    0.00    0.00    0.00     1.7   0.000   0.002   0.000   0.004     0.0     0.0     0.0     0.0     124    0.00    0.12    0.00    0.30     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      5.     10.      7.      7.     11.     10.     19.      9.      9.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0
