*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:47:32

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2023 109     0   0.777    1.08    5000    0.87
 2023 110     1   0.950    3.07   10000    0.30
 2023 111     2   0.950    3.07   10000    0.93
 2023 112     3   0.950    3.07   10000    0.18
 2023 113     4   0.950    3.07   10000    0.03
 2023 114     5   0.950    3.07   10000    0.01
 2023 115     6   0.950    3.07   10000    0.00
 2023 116     7   0.950    3.07   10000    0.00
 2023 117     8   0.950    3.07   10000    0.00
 2023 118     9   0.950    3.07   10000    0.00
 2023 119    10   0.950    3.07   10000    0.00
 2023 120    11   0.950    3.07   10000    0.00
 2023 121    12   0.950    3.07   10000    0.00
 2023 122    13   0.950    3.07   10000    0.00
 2023 123    14   0.950    3.07   10000    0.00
 2023 124    15   0.950    3.07   10000    3.50
 2023 125    16   0.950    3.07   10000    0.92
 2023 126    17   0.950    3.07   10000    0.46
 2023 127    18   0.950    3.07   10000    0.37
 2023 128    19   0.950    3.07   10000    0.07
 2023 129    20   0.950    3.07   10000    2.67
 2023 130    21   0.950    3.07   10000    1.71
 2023 131    22   0.950    3.07   10000    3.57
 2023 132    23   0.950    3.07   10000    2.60
 2023 133    24   0.950    3.07   10000    1.45
 2023 134    25   0.950    3.07   10000    0.90
 2023 135    26   0.950    3.07   10000    0.46
 2023 136    27   0.950    3.07   10000    0.09
 2023 137    28   0.950    3.07   10000    3.50
 2023 138    29   0.950    3.07   10000    0.67
 2023 139    30   0.950    3.07   10000    0.13
 2023 140    31   0.950    3.07   10000    0.02
 2023 141    32   0.950    3.07   10000    0.00
 2023 142    33   0.950    3.07   10000    0.00
 2023 143    34   0.950    3.07   10000    0.00
 2023 144    35   0.950    3.07   10000    0.00
 2023 145    36   0.950    3.07   10000    3.50
 2023 146    37   0.950    3.07   10000    2.19
 2023 147    38   0.950    3.07   10000    1.85
 2023 148    39   0.950    3.07   10000    3.58
 2023 149    40   0.950    3.07   10000    2.10
 2023 150    41   0.950    3.07   10000    0.40
 2023 151    42   0.950    3.07   10000    0.08
 2023 152    43   0.950    3.07   10000    0.01
 2023 153    44   0.950    3.07   10000    0.00
 2023 154    45   0.950    3.07   10000    3.50
 2023 155    46   0.950    3.07   10000    0.67
 2023 156    47   0.950    3.07   10000    3.53
 2023 157    48   0.950    3.07   10000    0.68
 2023 158    49   0.950    3.07   10000    0.13
 2023 159    50   0.950    3.07   10000    0.03
 2023 160    51   0.950    3.07   10000    3.50
 2023 161    52   0.950    3.07   10000    0.67
 2023 162    53   0.950    3.07   10000    0.13
 2023 163    54   0.950    3.07   10000    0.02
 2023 164    55   0.950    3.07   10000    0.00
 2023 165    56   0.950    3.07   10000    0.00
 2023 166    57   0.950    3.07   10000    0.29
 2023 167    58   0.950    3.07   10000    0.05
 2023 168    59   0.950    3.07   10000    0.49
 2023 169    60   0.950    3.07   10000    0.09
 2023 170    61   0.950    3.07   10000    0.02
 2023 171    62   0.950    3.07   10000    0.29
 2023 172    63   0.950    3.07   10000    2.43
 2023 173    64   0.950    3.07   10000    2.10
 2023 174    65   0.950    3.07   10000    3.44
 2023 175    66   0.950    3.07   10000    2.42
 2023 176    67   0.950    3.07   10000    0.47
 2023 177    68   0.950    3.07   10000    0.09
 2023 178    69   0.950    3.07   10000    0.02
 2023 179    70   0.950    3.07   10000    0.00
 2023 180    71   0.950    3.07   10000    3.50
 2023 181    72   0.950    3.07   10000    2.79
 2023 182    73   0.950    3.07   10000    2.51
 2023 183    74   0.950    3.07   10000    1.04
 2023 184    75   0.950    3.07   10000    0.20
 2023 185    76   0.950    3.07   10000    3.51
 2023 186    77   0.950    3.07   10000    3.44
 2023 187    78   0.950    3.07   10000    3.41
 2023 188    79   0.950    3.07   10000    2.96
 2023 189    80   0.950    3.07   10000    3.35
 2023 190    81   0.950    3.07   10000    2.38
 2023 191    82   0.950    3.07   10000    3.43
 2023 192    83   0.950    3.07   10000    2.52
 2023 193    84   0.950    3.07   10000    1.67
 2023 194    85   0.950    3.07   10000    3.71
 2023 195    86   0.950    3.07   10000    3.54
 2023 196    87   0.950    3.07   10000    2.75
 2023 197    88   0.950    3.07   10000    2.28
 2023 198    89   0.950    3.07   10000    1.61
 2023 199    90   0.950    3.07   10000    1.04
 2023 200    91   0.950    3.07   10000    0.76
 2023 201    92   0.950    3.07   10000    3.48
 2023 202    93   0.950    3.07   10000    2.93
 2023 203    94   0.950    3.07   10000    3.37
 2023 204    95   0.950    3.07   10000    3.13
 2023 205    96   0.950    3.07   10000    2.15
 2023 206    97   0.950    3.07   10000    1.23
 2023 207    98   0.950    3.07   10000    0.30
 2023 208    99   0.950    3.07   10000    0.06
 2023 209   100   0.950    3.07   10000    0.01
 2023 210   101   0.950    3.07   10000    0.76
 2023 211   102   0.950    3.07   10000    0.15
 2023 212   103   0.950    3.07   10000    3.16
 2023 213   104   0.950    3.07   10000    2.75
 2023 214   105   0.950    3.07   10000    3.43
 2023 215   106   0.950    3.07   10000    3.70
 2023 216   107   0.950    3.07   10000    3.29
 2023 217   108   0.950    3.07   10000    2.48
 2023 218   109   0.950    3.07   10000    1.88
 2023 219   110   0.950    3.07   10000    3.75
