*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:50:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2023 110     1     1436     0.00     0.00        1     0.00     0.00        5        0        0        5
 2023 111     2     1171     0.00     0.00        3     0.00     0.00       10        0        0       10
 2023 112     3      749     0.00     0.00        3     0.00     0.00       12        0        0       12
 2023 113     4      248     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 114     5        6     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 115     6        0     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 116     7        0     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 117     8       59     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 118     9      477     0.01     0.00        4     0.00     0.00       15        0        0       15
 2023 119    10      664     0.01     0.00        5     0.00     0.00       18        0        0       18
 2023 120    11      839     0.02     0.00        6     0.00     0.00       21        0        0       21
 2023 121    12      867     0.02     0.00        7     0.00     0.00       24        0        0       24
 2023 122    13      624     0.02     0.00        7     0.00     0.00       26        0        0       26
 2023 123    14      428     0.02     0.00        8     0.00     0.00       28        0        0       28
 2023 124    15      843     0.02     0.00        8     0.00     0.00       31        0        0       31
 2023 125    16     1289     0.01     0.00       10     0.00     0.00       36        0        0       36
 2023 126    17     1899     0.01     0.00       12     0.00     0.00       43        0        0       43
 2023 127    18     2394     0.02     0.00       14     0.00     0.00       51        0        0       51
 2023 128    19     2853     0.03     0.00       17     0.00     0.00       62        0        0       62
 2023 129    20     3004     0.03     0.00       20     0.00     0.00       73        0        0       73
 2023 130    21     2960     0.04     0.00       23     0.00     0.00       84        0        0       84
 2023 131    22     2877     0.01     0.00       26     0.00     0.00       94        0        0       94
 2023 132    23     2984     0.01     0.00       29     0.00     0.00      105        0        0      105
 2023 133    24     2871     0.01     0.00       32     0.00     0.00      116        0        0      116
 2023 134    25     2905     0.03     0.00       34     0.00     0.00      126        0        0      127
 2023 135    26     2635     0.05     0.00       37     0.00     0.00      136        0        0      136
 2023 136    27     2250     0.06     0.00       39     0.00     0.00      144        0        0      145
 2023 137    28     2092     0.08     0.00       41     0.00     0.00      152        0        0      152
 2023 138    29     2171     0.09     0.00       44     0.00     0.00      160        0        0      160
 2023 139    30     2138     0.09     0.00       46     0.00     0.00      168        0        0      168
 2023 140    31     2070     0.10     0.00       48     0.00     0.00      175        0        0      176
 2023 141    32     2220     0.11     0.00       50     0.00     0.00      184        0        0      184
 2023 142    33     2409     0.11     0.00       52     0.00     0.00      192        0        0      193
 2023 143    34     2603     0.12     0.00       55     0.00     0.00      202        1        0      203
 2023 144    35     2744     0.13     0.00       58     0.00     0.00      212        1        0      213
 2023 145    36     3183     0.14     0.00       61     0.00     0.00      224        1        0      224
 2023 146    37     3537     0.15     0.00       64     0.00     0.00      237        1        0      237
 2023 147    38     3561     0.03     0.00       68     0.00     0.00      250        1        0      251
 2023 148    39     3557     0.08     0.00       72     0.00     0.00      263        1        0      264
 2023 149    40     3550     0.03     0.00       75     0.00     0.00      276        1        0      277
 2023 150    41     3654     0.06     0.00       79     0.00     0.00      289        1        0      290
 2023 151    42     3744     0.13     0.00       83     0.00     0.00      303        1        0      304
 2023 152    43     3912     0.18     0.00       86     0.00     0.00      317        1        0      318
 2023 153    44     3958     0.20     0.00       90     0.00     0.00      332        1        0      333
 2023 154    45     4021     0.21     0.00       94     0.00     0.00      347        1        0      348
 2023 155    46     3862     0.05     0.00       98     0.00     0.00      361        1        0      362
 2023 156    47     3811     0.13     0.00      102     0.00     0.00      375        1        0      376
 2023 157    48     3843     0.16     0.00      106     0.00     0.00      389        1        0      390
 2023 158    49     3874     0.22     0.00      110     0.00     0.00      403        1        0      405
 2023 159    50     3964     0.25     0.00      114     0.00     0.00      418        2        0      419
 2023 160    51     4177     0.26     0.00      118     0.00     0.00      433        2        0      435
 2023 161    52     4412     0.27     0.00      122     0.00     0.00      449        2        0      451
 2023 162    53     4406     0.28     0.00      127     0.00     0.00      465        2        0      467
 2023 163    54     4250     0.29     0.00      131     0.00     0.00      481        2        0      483
 2023 164    55     3897     0.30     0.00      135     0.00     0.00      495        2        0      497
 2023 165    56     3564     0.30     0.00      139     0.01     0.00      508        2        0      511
 2023 166    57     3260     0.31     0.00      142     0.01     0.00      520        2        0      523
 2023 167    58     3299     0.32     0.00      145     0.01     0.00      532        3        0      535
 2023 168    59     3458     0.32     0.00      149     0.01     0.00      545        3        0      548
 2023 169    60     3718     0.33     0.00      152     0.01     0.00      559        3        0      562
 2023 170    61     4075     0.33     0.00      156     0.01     0.00      574        3        0      577
 2023 171    62     4492     0.34     0.00      161     0.01     0.00      590        3        0      593
 2023 172    63     4680     0.34     0.00      165     0.01     0.00      607        3        0      611
 2023 173    64     4988     0.35     0.00      170     0.01     0.00      626        4        0      629
 2023 174    65     5214     0.07     0.00      176     0.01     0.00      645        4        0      648
 2023 175    66     5441     0.08     0.00      181     0.01     0.00      665        4        0      668
 2023 176    67     5347     0.22     0.00      186     0.01     0.00      684        4        0      688
 2023 177    68     5095     0.34     0.00      192     0.01     0.00      703        4        0      707
 2023 178    69     4894     0.41     0.00      196     0.01     0.00      721        4        0      725
 2023 179    70     5029     0.41     0.00      202     0.01     0.00      740        4        0      744
 2023 180    71     5362     0.41     0.00      207     0.01     0.00      759        4        0      764
 2023 181    72     5529     0.38     0.00      212     0.01     0.00      779        5        0      784
 2023 182    73     5565     0.10     0.00      218     0.01     0.00      800        5        0      805
 2023 183    74     5637     0.25     0.00      224     0.01     0.00      821        5        0      825
 2023 184    75     5606     0.39     0.00      229     0.01     0.00      841        5        0      846
 2023 185    76     5560     0.46     0.00      235     0.01     0.00      862        5        0      867
 2023 186    77     5488     0.44     0.00      240     0.01     0.00      882        5        0      887
 2023 187    78     5245     0.45     0.00      245     0.01     0.00      901        6        0      907
 2023 188    79     4976     0.10     0.00      250     0.01     0.00      919        6        0      925
 2023 189    80     4921     0.11     0.00      255     0.01     0.00      937        6        0      943
 2023 190    81     4317     0.27     0.00      260     0.01     0.00      953        6        0      959
 2023 191    82     4211     0.42     0.00      264     0.01     0.00      969        6        0      975
 2023 192    83     4872     0.25     0.00      269     0.01     0.00      986        6        0      993
 2023 193    84     5506     0.42     0.00      274     0.01     0.00     1007        6        0     1013
 2023 194    85     5790     0.51     0.00      280     0.01     0.00     1028        7        0     1035
 2023 195    86     6289     0.13     0.00      286     0.01     0.00     1051        7        0     1058
 2023 196    87     6428     0.12     0.00      293     0.01     0.00     1075        7        0     1081
 2023 197    88     6288     0.33     0.00      299     0.01     0.00     1098        7        0     1105
 2023 198    89     6333     0.49     0.00      305     0.02     0.00     1121        7        0     1128
 2023 199    90     6207     0.54     0.00      312     0.02     0.00     1144        7        0     1151
 2023 200    91     6193     0.54     0.00      318     0.02     0.00     1166        8        0     1174
 2023 201    92     6358     0.53     0.00      324     0.02     0.00     1190        8        0     1198
 2023 202    93     6285     0.47     0.00      330     0.02     0.00     1213        8        0     1221
 2023 203    94     6020     0.50     0.00      336     0.02     0.00     1235        8        0     1243
 2023 204    95     6083     0.25     0.00      343     0.02     0.00     1257        8        0     1266
 2023 205    96     6236     0.40     0.00      349     0.02     0.00     1280        9        0     1289
 2023 206    97     6481     0.52     0.00      355     0.02     0.00     1304        9        0     1313
 2023 207    98     7074     0.57     0.00      362     0.02     0.00     1330        9        0     1339
 2023 208    99     7608     0.56     0.00      370     0.02     0.00     1358        9        0     1367
 2023 209   100     8003     0.56     0.00      378     0.02     0.00     1387       10        0     1397
 2023 210   101     8162     0.56     0.00      386     0.02     0.00     1417       10        0     1427
 2023 211   102     8020     0.55     0.00      394     0.02     0.00     1447       10        0     1457
 2023 212   103     7938     0.55     0.00      402     0.02     0.00     1476       10        0     1486
 2023 213   104     7784     0.55     0.00      410     0.02     0.00     1504       11        0     1515
 2023 214   105     7555     0.55     0.00      417     0.02     0.00     1532       11        0     1543
 2023 215   106     7525     0.55     0.00      425     0.02     0.00     1560       11        0     1571
 2023 216   107     7480     0.14     0.00      432     0.02     0.00     1587       11        0     1598
 2023 217   108     7227     0.12     0.00      440     0.02     0.00     1614       11        0     1625
 2023 218   109     7191     0.34     0.00      447     0.02     0.00     1640       11        0     1651
 2023 219   110     6879     0.49     0.00      454     0.03     0.00     1665       12        0     1677
 2023 220   111     6225     0.13     0.00      460     0.03     0.00     1688       12        0     1700
 2023 221   112     6006     0.32     0.00      466     0.03     0.00     1710       12        0     1722
 2023 222   113     5885     0.46     0.00      472     0.03     0.00     1732       12        0     1744
 2023 223   114     6013     0.56     0.00      478     0.03     0.00     1754       12        0     1766
 2023 224   115     6237     0.61     0.00      484     0.03     0.00     1777       13        0     1789
 2023 225   116     6628     0.60     0.00      491     0.03     0.00     1801       13        0     1814
 2023 226   117     6492     0.60     0.00      497     0.03     0.00     1825       13        0     1838
 2023 227   118     6267     0.59     0.00      503     0.03     0.00     1848       14        0     1861
 2023 228   119     5951     0.59     0.00      509     0.03     0.00     1870       14        0     1883
 2023 229   120     6186     0.59     0.00      516     0.03     0.00     1892       14        0     1906
 2023 230   121     6131     0.59     0.00      522     0.03     0.00     1915       14        0     1929
 2023 231   122     6777     0.59     0.00      529     0.03     0.00     1940       15        0     1954
 2023 232   123     7457     0.59     0.00      536     0.03     0.00     1967       15        0     1982
 2023 233   124     7987     0.59     0.00      544     0.03     0.00     1996       15        0     2012
 2023 234   125     8271     0.59     0.00      552     0.03     0.00     2027       15        0     2042
 2023 235   126     8933     0.59     0.00      561     0.03     0.00     2060       16        0     2075
 2023 236   127     9152     0.60     0.00      570     0.03     0.00     2093       16        0     2109
 2023 237   128     9227     0.60     0.00      580     0.03     0.00     2127       16        0     2143
 2023 238   129     9107     0.60     0.00      589     0.04     0.00     2160       17        0     2177
 2023 239   130     8343     0.60     0.00      597     0.04     0.00     2191       17        0     2208
 2023 240   131     7584     0.60     0.00      605     0.04     0.00     2219       17        0     2236
 2023 241   132     7015     0.60     0.00      612     0.04     0.00     2245       17        0     2262
 2023 242   133     6497     0.60     0.00      618     0.04     0.00     2268       18        0     2286
 2023 243   134     6245     0.60     0.00      624     0.04     0.00     2291       18        0     2309
 2023 244   135     6725     0.60     0.00      631     0.04     0.00     2316       18        0     2334
 2023 245   136     7314     0.60     0.00      638     0.04     0.00     2343       19        0     2361
 2023 246   137     7751     0.60     0.00      646     0.04     0.00     2371       19        0     2390
 2023 247   138     8126     0.60     0.00      654     0.04     0.00     2401       19        0     2420
 2023 248   139     8396     0.61     0.00      663     0.04     0.00     2432       19        0     2451
 2023 249   140     7576     0.61     0.00      670     0.04     0.00     2460       20        0     2479
 2023 250   141     6729     0.61     0.00      677     0.04     0.00     2484       20        0     2504
 2023 251   142     6295     0.61     0.00      683     0.04     0.00     2508       20        0     2528
 2023 252   143     5760     0.60     0.00      689     0.04     0.00     2529       21        0     2549
 2023 253   144     5589     0.60     0.00      695     0.04     0.00     2549       21        0     2570
 2023 254   145     5868     0.12     0.00      700     0.04     0.00     2571       21        0     2592
 2023 255   146     5886     0.35     0.00      706     0.04     0.00     2592       21        0     2613
 2023 256   147     5593     0.52     0.00      712     0.05     0.00     2613       21        0     2634
 2023 257   148     5502     0.61     0.00      717     0.05     0.00     2633       22        0     2655
 2023 258   149     5178     0.63     0.00      723     0.05     0.00     2652       22        0     2674
 2023 259   150     5309     0.13     0.00      728     0.05     0.00     2672       22        0     2693
 2023 260   151     5584     0.39     0.00      734     0.05     0.00     2692       22        0     2714
 2023 261   152     5623     0.57     0.00      739     0.05     0.00     2713       22        0     2735
 2023 262   153     5914     0.68     0.00      745     0.05     0.00     2734       23        0     2757
 2023 263   154     6048     0.68     0.00      751     0.05     0.00     2757       23        0     2780
 2023 264   155     6155     0.52     0.00      757     0.05     0.00     2779       23        0     2802
 2023 265   156     6082     0.61     0.00      763     0.05     0.00     2802       24        0     2825
 2023 266   157     5997     0.65     0.00      769     0.05     0.00     2824       24        0     2847
 2023 267   158     5660     0.64     0.00      775     0.05     0.00     2844       24        0     2868
 2023 268   159     5372     0.63     0.00      780     0.05     0.00     2864       24        0     2888
