*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAY 26, 2025 18:07:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2020 110     1      595     0.00     0.00        1     0.00     0.00        2        0        0        2
 2020 111     2      574     0.00     0.00        1     0.00     0.00        4        0        0        4
 2020 112     3      662     0.00     0.00        2     0.00     0.00        7        0        0        7
 2020 113     4      768     0.01     0.00        3     0.00     0.00       10        0        0       10
 2020 114     5     1070     0.01     0.00        4     0.00     0.00       13        0        0       13
 2020 115     6     1303     0.01     0.00        5     0.00     0.00       18        0        0       18
 2020 116     7     1437     0.01     0.00        6     0.00     0.00       24        0        0       24
 2020 117     8     1431     0.01     0.00        8     0.00     0.00       29        0        0       29
 2020 118     9     1604     0.02     0.00        9     0.00     0.00       35        0        0       35
 2020 119    10     1780     0.02     0.00       11     0.00     0.00       41        0        0       41
 2020 120    11     1926     0.02     0.00       13     0.00     0.00       48        0        0       48
 2020 121    12     2096     0.03     0.00       15     0.00     0.00       56        0        0       56
 2020 122    13     2358     0.03     0.00       18     0.00     0.00       65        0        0       65
 2020 123    14     2762     0.06     0.00       20     0.00     0.00       75        0        0       75
 2020 124    15     2600     0.25     0.00       23     0.00     0.00       84        0        0       84
 2020 125    16     2537     0.14     0.00       26     0.00     0.00       94        0        0       94
 2020 126    17     2354     0.16     0.00       28     0.00     0.00      102        0        0      103
 2020 127    18     2206     0.67     0.00       30     0.00     0.00      110        1        0      111
 2020 128    19     1545     1.08     0.00       32     0.00     0.00      116        1        0      117
 2020 129    20     1492     1.30     0.00       33     0.00     0.00      121        2        0      123
 2020 130    21     1215     0.39     0.00       34     0.00     0.00      126        2        0      128
 2020 131    22     1136     1.17     0.00       35     0.01     0.00      130        3        0      133
 2020 132    23      758     1.68     0.00       36     0.01     0.00      133        3        0      136
 2020 133    24      438     0.41     0.00       37     0.01     0.00      134        3        0      138
 2020 134    25      116     1.20     0.00       37     0.01     0.00      135        4        0      139
 2020 135    26      151     1.75     0.00       37     0.01     0.00      135        5        0      140
 2020 136    27      392     1.99     0.00       37     0.01     0.00      137        6        0      143
 2020 137    28      872     0.43     0.00       38     0.01     0.00      140        6        0      146
 2020 138    29     1551     0.41     0.00       40     0.01     0.00      146        6        0      152
 2020 139    30     1911     1.18     0.00       42     0.01     0.00      153        7        0      160
 2020 140    31     2004     0.44     0.00       44     0.01     0.00      160        7        0      167
 2020 141    32     2080     1.37     0.00       46     0.02     0.00      168        8        0      175
 2020 142    33     2305     2.13     0.00       48     0.02     0.00      176        9        0      185
 2020 143    34     2320     2.10     0.00       50     0.02     0.00      185       10        0      194
 2020 144    35     2642     0.41     0.00       53     0.02     0.00      194       10        0      204
 2020 145    36     2926     1.06     0.00       56     0.02     0.00      205       10        0      215
 2020 146    37     2954     1.63     0.00       59     0.02     0.00      216       11        0      227
 2020 147    38     2614     0.43     0.00       61     0.02     0.00      226       11        0      237
 2020 148    39     2560     1.22     0.00       64     0.03     0.00      235       12        0      247
 2020 149    40     2560     1.74     0.00       67     0.03     0.00      244       13        0      257
 2020 150    41     2596     2.11     0.00       69     0.03     0.00      254       14        0      268
 2020 151    42     2709     2.07     0.00       72     0.03     0.00      264       15        0      278
 2020 152    43     3163     2.04     0.00       75     0.03     0.00      276       16        0      291
 2020 153    44     3614     2.01     0.00       79     0.04     0.00      289       16        0      305
 2020 154    45     4187     1.98     0.00       83     0.04     0.00      304       17        0      322
 2020 155    46     4622     1.94     0.00       87     0.04     0.00      321       18        0      339
 2020 156    47     4846     1.90     0.00       92     0.04     0.00      339       19        0      358
 2020 157    48     5062     1.86     0.00       97     0.04     0.00      357       20        0      378
 2020 158    49     5178     1.82     0.00      103     0.04     0.00      376       21        0      397
 2020 159    50     5260     1.77     0.00      108     0.05     0.00      396       22        0      418
 2020 160    51     5513     1.72     0.00      113     0.05     0.00      416       23        0      439
 2020 161    52     5689     1.67     0.00      119     0.05     0.00      437       23        0      460
 2020 162    53     5206     1.62     0.00      124     0.05     0.00      456       24        0      480
 2020 163    54     4818     1.57     0.00      129     0.05     0.00      474       25        0      499
 2020 164    55     4270     1.52     0.00      133     0.05     0.00      489       26        0      515
 2020 165    56     3866     1.48     0.00      137     0.06     0.00      504       26        0      530
 2020 166    57     3750     1.43     0.00      141     0.06     0.00      517       27        0      544
 2020 167    58     4550     1.38     0.00      146     0.06     0.00      534       28        0      562
 2020 168    59     5193     1.34     0.00      151     0.06     0.00      553       28        0      581
 2020 169    60     5693     1.30     0.00      156     0.06     0.00      574       29        0      603
 2020 170    61     6050     1.26     0.00      162     0.06     0.00      596       29        0      626
 2020 171    62     5979     1.22     0.00      168     0.06     0.00      618       30        0      648
 2020 172    63     5405     1.17     0.00      174     0.07     0.00      638       30        0      668
 2020 173    64     4987     1.13     0.00      179     0.07     0.00      656       31        0      687
 2020 174    65     4770     1.09     0.00      184     0.07     0.00      674       32        0      705
 2020 175    66     4346     1.05     0.00      188     0.07     0.00      690       32        0      722
 2020 176    67     4298     1.01     0.00      192     0.07     0.00      705       33        0      738
 2020 177    68     4559     0.98     0.00      197     0.07     0.00      722       33        0      755
 2020 178    69     4910     0.95     0.00      202     0.07     0.00      740       33        0      774
 2020 179    70     5012     0.92     0.00      207     0.07     0.00      759       34        0      792
 2020 180    71     5304     0.89     0.00      212     0.07     0.00      778       34        0      812
 2020 181    72     5684     0.87     0.00      218     0.07     0.00      799       35        0      834
 2020 182    73     5902     0.85     0.00      224     0.07     0.00      821       35        0      856
 2020 183    74     5440     0.83     0.00      229     0.08     0.00      841       35        0      876
 2020 184    75     5150     0.81     0.00      234     0.08     0.00      859       36        0      895
 2020 185    76     5076     0.79     0.00      239     0.08     0.00      878       36        0      914
 2020 186    77     4920     0.77     0.00      244     0.08     0.00      896       37        0      933
 2020 187    78     4609     0.75     0.00      249     0.08     0.00      913       37        0      950
 2020 188    79     4854     0.73     0.00      254     0.08     0.00      931       37        0      968
 2020 189    80     5087     0.71     0.00      259     0.08     0.00      950       38        0      987
 2020 190    81     5140     0.70     0.00      264     0.08     0.00      968       38        0     1006
 2020 191    82     5163     0.68     0.00      269     0.08     0.00      987       38        0     1026
 2020 192    83     5432     0.17     0.00      274     0.08     0.00     1007       38        0     1046
 2020 193    84     5553     0.57     0.00      280     0.08     0.00     1028       39        0     1066
 2020 194    85     5336     0.64     0.00      285     0.08     0.00     1047       39        0     1086
 2020 195    86     5050     0.63     0.00      290     0.08     0.00     1066       39        0     1105
 2020 196    87     5415     0.17     0.00      296     0.08     0.00     1086       39        0     1125
 2020 197    88     5653     0.40     0.00      301     0.08     0.00     1106       39        0     1146
 2020 198    89     5591     0.56     0.00      307     0.08     0.00     1127       40        0     1167
 2020 199    90     5739     0.61     0.00      313     0.09     0.00     1148       40        0     1188
 2020 200    91     6010     0.61     0.00      319     0.09     0.00     1170       40        0     1210
 2020 201    92     5917     0.60     0.00      325     0.09     0.00     1192       41        0     1232
 2020 202    93     6098     0.59     0.00      331     0.09     0.00     1214       41        0     1255
 2020 203    94     6140     0.58     0.00      337     0.09     0.00     1237       41        0     1278
 2020 204    95     5860     0.58     0.00      343     0.09     0.00     1258       41        0     1300
 2020 205    96     5655     0.57     0.00      348     0.09     0.00     1279       42        0     1321
 2020 206    97     5778     0.56     0.00      354     0.09     0.00     1300       42        0     1342
 2020 207    98     6043     0.44     0.00      360     0.09     0.00     1322       42        0     1364
 2020 208    99     6294     0.16     0.00      367     0.09     0.00     1345       42        0     1388
 2020 209   100     6584     0.38     0.00      373     0.09     0.00     1370       42        0     1412
 2020 210   101     6557     0.57     0.00      380     0.09     0.00     1394       43        0     1436
 2020 211   102     6403     0.59     0.00      386     0.09     0.00     1417       43        0     1460
 2020 212   103     6445     0.14     0.00      393     0.09     0.00     1441       43        0     1484
 2020 213   104     6219     0.22     0.00      399     0.09     0.00     1464       43        0     1507
 2020 214   105     6635     0.43     0.00      405     0.09     0.00     1488       43        0     1531
 2020 215   106     6648     0.54     0.00      412     0.09     0.00     1512       44        0     1556
 2020 216   107     6253     0.58     0.00      418     0.09     0.00     1535       44        0     1579
 2020 217   108     5803     0.57     0.00      424     0.09     0.00     1557       44        0     1601
 2020 218   109     5798     0.57     0.00      430     0.09     0.00     1578       44        0     1622
 2020 219   110     5955     0.56     0.00      436     0.10     0.00     1600       45        0     1644
 2020 220   111     6032     0.55     0.00      442     0.10     0.00     1622       45        0     1667
 2020 221   112     6681     0.55     0.00      449     0.10     0.00     1646       45        0     1691
 2020 222   113     7141     0.54     0.00      456     0.10     0.00     1673       45        0     1718
 2020 223   114     7495     0.54     0.00      463     0.10     0.00     1700       46        0     1746
 2020 224   115     7480     0.53     0.00      471     0.10     0.00     1728       46        0     1773
 2020 225   116     7481     0.53     0.00      478     0.10     0.00     1755       46        0     1801
 2020 226   117     7310     0.53     0.00      486     0.10     0.00     1782       46        0     1828
 2020 227   118     7445     0.53     0.00      493     0.10     0.00     1809       47        0     1856
 2020 228   119     7236     0.53     0.00      500     0.10     0.00     1836       47        0     1883
 2020 229   120     7118     0.52     0.00      507     0.10     0.00     1862       47        0     1909
 2020 230   121     7190     0.52     0.00      515     0.10     0.00     1888       47        0     1936
 2020 231   122     6925     0.52     0.00      521     0.10     0.00     1914       48        0     1961
 2020 232   123     6854     0.52     0.00      528     0.10     0.00     1939       48        0     1987
 2020 233   124     7060     0.52     0.00      535     0.10     0.00     1965       48        0     2013
 2020 234   125     7458     0.52     0.00      543     0.10     0.00     1992       48        0     2040
 2020 235   126     7443     0.51     0.00      550     0.10     0.00     2019       49        0     2068
 2020 236   127     7760     0.52     0.00      558     0.10     0.00     2048       49        0     2097
 2020 237   128     7741     0.52     0.00      566     0.10     0.00     2076       49        0     2125
 2020 238   129     7951     0.52     0.00      574     0.11     0.00     2105       49        0     2155
 2020 239   130     8062     0.52     0.00      582     0.11     0.00     2135       50        0     2185
 2020 240   131     8167     0.52     0.00      590     0.11     0.00     2165       50        0     2215
 2020 241   132     8147     0.52     0.00      598     0.11     0.00     2195       50        0     2245
 2020 242   133     7959     0.52     0.00      606     0.11     0.00     2224       50        0     2274
 2020 243   134     7279     0.52     0.00      613     0.11     0.00     2251       50        0     2301
 2020 244   135     7129     0.52     0.00      620     0.11     0.00     2277       51        0     2328
 2020 245   136     6456     0.52     0.00      627     0.11     0.00     2301       51        0     2352
 2020 246   137     5986     0.52     0.00      633     0.11     0.00     2323       51        0     2374
 2020 247   138     5719     0.52     0.00      639     0.11     0.00     2344       51        0     2395
 2020 248   139     5872     0.52     0.00      644     0.11     0.00     2365       52        0     2417
 2020 249   140     5684     0.52     0.00      650     0.11     0.00     2386       52        0     2438
 2020 250   141     6083     0.51     0.00      656     0.11     0.00     2408       52        0     2461
 2020 251   142     6379     0.51     0.00      663     0.11     0.00     2432       52        0     2484
 2020 252   143     6166     0.51     0.00      669     0.11     0.00     2454       53        0     2507
 2020 253   144     5353     0.47     0.00      674     0.11     0.00     2474       53        0     2527
 2020 254   145     4240     0.47     0.00      678     0.11     0.00     2490       53        0     2543
 2020 255   146     3260     0.47     0.00      682     0.11     0.00     2502       53        0     2555
 2020 256   147     2619     0.47     0.00      684     0.11     0.00     2511       54        0     2565
 2020 257   148     2616     0.47     0.00      687     0.11     0.00     2521       54        0     2575
 2020 258   149     3541     0.47     0.00      690     0.12     0.00     2534       54        0     2588
 2020 259   150     4433     0.46     0.00      695     0.12     0.00     2550       54        0     2604
 2020 260   151     5286     0.46     0.00      700     0.12     0.00     2569       54        0     2624
 2020 261   152     5354     0.46     0.00      705     0.12     0.00     2589       55        0     2644
 2020 262   153     5327     0.46     0.00      711     0.12     0.00     2609       55        0     2664
 2020 263   154     5322     0.46     0.00      716     0.12     0.00     2628       55        0     2683
 2020 264   155     5513     0.46     0.00      722     0.12     0.00     2648       55        0     2704
 2020 265   156     5568     0.46     0.00      727     0.12     0.00     2669       55        0     2724
 2020 266   157     5967     0.46     0.00      733     0.12     0.00     2691       56        0     2746
 2020 267   158     6328     0.45     0.00      740     0.12     0.00     2714       56        0     2770
 2020 268   159     6429     0.45     0.00      746     0.12     0.00     2738       56        0     2794
