*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  NOV 03, 2024 05:23:59

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 121     1     1191     0.00     0.00        1     0.00     0.00        4        0        0        4
 2022 122     2     1153     0.00     0.00        2     0.00     0.00        9        0        0        9
 2022 123     3      791     0.00     0.00        3     0.00     0.00       12        0        0       12
 2022 124     4      466     0.00     0.00        4     0.00     0.00       13        0        0       13
 2022 125     5      270     0.00     0.00        4     0.00     0.00       14        0        0       14
 2022 126     6      260     0.00     0.00        4     0.00     0.00       15        0        0       15
 2022 127     7      518     0.01     0.00        5     0.00     0.00       17        0        0       17
 2022 128     8     1350     0.00     0.00        6     0.00     0.00       22        0        0       22
 2022 129     9     2239     0.01     0.00        8     0.00     0.00       30        0        0       30
 2022 130    10     2912     0.02     0.00       11     0.00     0.00       41        0        0       41
 2022 131    11     3290     0.02     0.00       14     0.00     0.00       53        0        0       53
 2022 132    12     3792     0.03     0.00       18     0.00     0.00       67        0        0       67
 2022 133    13     4038     0.04     0.00       22     0.00     0.00       82        0        0       82
 2022 134    14     3864     0.05     0.00       26     0.00     0.00       96        0        0       96
 2022 135    15     3790     0.05     0.00       30     0.00     0.00      110        0        0      110
 2022 136    16     3810     0.06     0.00       34     0.00     0.00      124        0        0      124
 2022 137    17     3537     0.07     0.00       37     0.00     0.00      137        0        0      137
 2022 138    18     3566     0.08     0.00       41     0.00     0.00      150        0        0      150
 2022 139    19     3884     0.09     0.00       45     0.00     0.00      164        0        0      164
 2022 140    20     4204     0.10     0.00       49     0.00     0.00      180        0        0      180
 2022 141    21     3766     0.11     0.00       53     0.00     0.00      193        0        0      194
 2022 142    22     3010     0.12     0.00       56     0.00     0.00      204        0        0      205
 2022 143    23     2057     0.12     0.00       58     0.00     0.00      212        0        0      212
 2022 144    24     1382     0.01     0.00       59     0.00     0.00      217        0        0      218
 2022 145    25      727     0.01     0.00       60     0.00     0.00      220        0        0      220
 2022 146    26     1011     0.02     0.00       61     0.00     0.00      223        0        0      224
 2022 147    27     1619     0.02     0.00       62     0.00     0.00      229        0        0      230
 2022 148    28     2477     0.02     0.00       65     0.00     0.00      238        0        0      239
 2022 149    29     3242     0.02     0.00       68     0.00     0.00      250        1        0      251
 2022 150    30     4030     0.02     0.00       72     0.00     0.00      265        1        0      266
 2022 151    31     4106     0.02     0.00       76     0.00     0.00      280        1        0      281
 2022 152    32     4029     0.07     0.00       80     0.00     0.00      295        1        0      296
 2022 153    33     3683     0.14     0.00       84     0.00     0.00      309        1        0      309
 2022 154    34     3269     0.20     0.00       87     0.00     0.00      321        1        0      321
 2022 155    35     2957     0.21     0.00       90     0.00     0.00      331        1        0      332
 2022 156    36     3345     0.22     0.00       94     0.00     0.00      344        1        0      345
 2022 157    37     3739     0.24     0.00       97     0.00     0.00      357        1        0      358
 2022 158    38     4206     0.25     0.00      102     0.00     0.00      373        1        0      374
 2022 159    39     4476     0.10     0.00      106     0.00     0.00      389        1        0      390
 2022 160    40     4574     0.26     0.00      111     0.00     0.00      406        1        0      407
 2022 161    41     4570     0.34     0.00      115     0.00     0.00      423        1        0      424
 2022 162    42     4601     0.34     0.00      120     0.00     0.00      440        2        0      441
 2022 163    43     4886     0.34     0.00      125     0.00     0.00      458        2        0      459
 2022 164    44     5449     0.35     0.00      130     0.00     0.00      478        2        0      480
 2022 165    45     6205     0.37     0.00      136     0.00     0.00      500        2        0      503
 2022 166    46     6305     0.38     0.00      143     0.00     0.00      524        2        0      526
 2022 167    47     6269     0.39     0.00      149     0.01     0.00      547        2        0      549
 2022 168    48     5908     0.40     0.00      155     0.01     0.00      568        3        0      571
 2022 169    49     5965     0.41     0.00      161     0.01     0.00      590        3        0      593
 2022 170    50     5819     0.41     0.00      167     0.01     0.00      611        3        0      615
 2022 171    51     6100     0.42     0.00      173     0.01     0.00      634        3        0      637
 2022 172    52     6398     0.43     0.00      179     0.01     0.00      657        3        0      661
 2022 173    53     6214     0.44     0.00      185     0.01     0.00      680        4        0      684
 2022 174    54     5644     0.44     0.00      191     0.01     0.00      701        4        0      705
 2022 175    55     5328     0.45     0.00      196     0.01     0.00      720        4        0      724
 2022 176    56     5018     0.44     0.00      201     0.01     0.00      739        4        0      743
 2022 177    57     4492     0.44     0.00      206     0.01     0.00      755        5        0      760
 2022 178    58     4275     0.45     0.00      210     0.01     0.00      771        5        0      776
 2022 179    59     4281     0.44     0.00      214     0.01     0.00      787        5        0      792
 2022 180    60     4076     0.44     0.00      218     0.01     0.00      802        5        0      807
 2022 181    61     4175     0.44     0.00      223     0.01     0.00      817        5        0      822
 2022 182    62     4463     0.44     0.00      227     0.01     0.00      833        6        0      839
 2022 183    63     4789     0.44     0.00      232     0.01     0.00      851        6        0      857
 2022 184    64     5858     0.06     0.00      238     0.01     0.00      872        6        0      878
 2022 185    65     6286     0.10     0.00      244     0.01     0.00      895        6        0      901
 2022 186    66     6382     0.39     0.00      250     0.01     0.00      919        6        0      925
 2022 187    67     6730     0.11     0.00      257     0.01     0.00      944        6        0      950
 2022 188    68     6868     0.23     0.00      264     0.01     0.00      969        6        0      975
 2022 189    69     7059     0.10     0.00      271     0.01     0.00      995        6        0     1001
 2022 190    70     7271     0.38     0.00      278     0.01     0.00     1021        6        0     1028
 2022 191    71     7281     0.71     0.00      286     0.01     0.00     1048        7        0     1055
 2022 192    72     7236     0.71     0.00      293     0.02     0.00     1075        7        0     1082
 2022 193    73     6997     0.68     0.00      300     0.02     0.00     1100        7        0     1108
 2022 194    74     6746     0.66     0.00      307     0.02     0.00     1125        8        0     1133
