*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  NOV 03, 2024 05:23:59

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2022 120     0  298.30    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2022 121     1  297.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.93   0.00   0.00   0.00    0.00      0.00        0.00   -0.93    0.00    0.00    0.00
 2022 122     2  330.38    0.00    0.00   0.00   0.00  36.60   0.00    0.00   0.00   0.00   2.93   0.00   0.66   0.00   0.00   0.00    0.00      0.00       33.67   -0.66    0.00    0.00    0.00
 2022 123     3  314.48    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  12.65   0.00   0.00   3.25   0.00   0.00   0.00    0.00      0.00      -12.65   -3.25    0.00    0.00    0.00
 2022 124     4  319.12    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.67   0.00   0.00   0.00    0.00      0.00        5.30   -0.67    0.00    0.00    0.00
 2022 125     5  319.61    0.00    0.00   0.00   0.00   2.80   0.00    0.00   0.00   0.00   0.00   0.00   2.31   0.00   0.00   0.00   -0.00      0.00        2.80   -2.31    0.00    0.00    0.00
 2022 126     6  305.98    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   7.77   0.00   0.00   5.86   0.00   0.00   0.00   -0.00      0.00       -7.77   -5.86    0.00    0.00    0.00
 2022 127     7  312.29    0.00    0.00   0.00   0.00  11.70   0.00    0.00   0.00   0.00   0.00   0.00   5.39   0.00   0.00   0.00    0.00      0.00       11.70   -5.39    0.00    0.00    0.00
 2022 128     8  302.23    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   4.37   0.00   0.00   5.69   0.00   0.00   0.00    0.00      0.00       -4.37   -5.69    0.00    0.00    0.00
 2022 129     9  295.82    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.55   0.00   0.00   5.86   0.00   0.00   0.00   -0.00      0.00       -0.55   -5.86    0.00    0.00    0.00
 2022 130    10  290.25    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.56   0.00   0.00   0.00    0.00      0.00        0.00   -5.56    0.00    0.00    0.00
 2022 131    11  289.43    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.83   0.00   0.00   0.00   -0.00      0.00        0.00   -0.83    0.00    0.00    0.00
 2022 132    12  288.66    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.77   0.00   0.00   0.00   -0.00      0.00        0.00   -0.77    0.00    0.00    0.00
 2022 133    13  287.95    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.71   0.00   0.00   0.00    0.00      0.00        0.00   -0.71    0.00    0.00    0.00
 2022 134    14  287.29    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   0.00   0.00   0.00   -0.00      0.00        0.00   -0.66    0.00    0.00    0.00
 2022 135    15  287.63    0.00    0.00   0.00   0.00   1.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   0.00   0.00   0.00   -0.00      0.00        1.00   -0.66    0.00    0.00    0.00
 2022 136    16  287.26    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.67   0.00   0.00   0.00   -0.00      0.00        0.30   -0.67    0.00    0.00    0.00
 2022 137    17  286.62    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.64   0.00   0.00   0.00   -0.00      0.00        0.00   -0.64    0.00    0.00    0.00
 2022 138    18  286.01    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.59   0.02   0.00   0.00   -0.00     -0.00        0.00   -0.59   -0.02    0.00    0.00
 2022 139    19  285.43    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.55   0.02   0.00   0.00   -0.00     -0.00        0.00   -0.55   -0.02    0.00    0.00
 2022 140    20  284.91    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.52   0.01   0.00   0.00   -0.00     -0.00        0.00   -0.52   -0.01    0.00    0.00
 2022 141    21  284.40    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.48   0.02   0.00   0.00   -0.00     -0.00        0.00   -0.48   -0.02    0.00    0.00
 2022 142    22  283.94    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.45   0.02   0.00   0.00   -0.00     -0.00        0.00   -0.45   -0.02    0.00    0.00
 2022 143    23  319.24    0.00    0.00   0.00  25.40  10.70   0.00    0.00   0.00   0.00   0.00   0.00   0.80   0.00   0.00   0.00    0.00     -0.00       36.10   -0.80   -0.00    0.00    0.00
 2022 144    24  345.14    0.00    0.00   0.00  25.40   2.30   0.00    0.00   0.00   0.00   0.00   0.00   1.80   0.00   0.00   0.00   -0.00     -0.00       27.70   -1.80   -0.00    0.00    0.00
 2022 145    25  364.43    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.10   0.01   0.00   0.00   -0.00     -0.00       25.40   -6.10   -0.01    0.00    0.00
 2022 146    26  382.71    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   7.10   0.02   0.00   0.00   -0.00     -0.00       25.40   -7.10   -0.02    0.00    0.00
 2022 147    27  400.79    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   7.29   0.03   0.00   0.00    0.00     -0.00       25.40   -7.29   -0.03    0.00    0.00
 2022 148    28  419.65    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.49   0.05   0.00   0.00    0.00     -0.00       25.40   -6.49   -0.05    0.00    0.00
 2022 149    29  439.28    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.67   0.10   0.00   0.00    0.00     -0.00       25.40   -5.67   -0.10    0.00    0.00
 2022 150    30  441.53    0.00    0.00   0.00   0.00   6.10   0.00    0.00   0.00   0.00   0.00   0.00   3.74   0.11   0.00   0.00    0.00     -0.00        6.10   -3.74   -0.11    0.00    0.00
 2022 151    31  380.96    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  56.94   0.00   0.00   3.50   0.13   0.00   0.00   -0.00     -0.00      -56.94   -3.50   -0.13    0.00    0.00
 2022 152    32  343.44    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  32.84   0.00   0.00   4.49   0.19   0.00   0.00    0.00     -0.00      -32.84   -4.49   -0.19    0.00    0.00
 2022 153    33  320.20    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  17.87   0.00   0.00   5.12   0.26   0.00   0.00    0.00     -0.00      -17.87   -5.12   -0.26    0.00    0.00
 2022 154    34  305.76    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   8.64   0.00   0.00   5.47   0.32   0.00   0.00   -0.00     -0.00       -8.64   -5.47   -0.32    0.00    0.00
 2022 155    35  296.42    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   3.45   0.00   0.00   5.46   0.43   0.00   0.00    0.00     -0.00       -3.45   -5.46   -0.43    0.00    0.00
 2022 156    36  290.80    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.64   0.00   0.00   4.58   0.40   0.00   0.00    0.00     -0.00       -0.64   -4.58   -0.40    0.00    0.00
 2022 157    37  286.13    0.00    0.00   0.00   0.00   1.00   0.00    0.00   0.00   0.00   0.00   0.00   5.01   0.66   0.00   0.00   -0.00     -0.00        1.00   -5.01   -0.66    0.00    0.00
 2022 158    38  296.17    0.00    0.00   0.00   0.00  12.20   0.00    0.00   0.00   0.00   0.00   0.00   1.92   0.24   0.00   0.00    0.00     -0.00       12.20   -1.92   -0.24    0.00    0.00
 2022 159    39  289.39    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.88   0.90   0.00   0.00    0.00     -0.00        0.00   -5.88   -0.90    0.00    0.00
 2022 160    40  285.17    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   3.90   0.61   0.00   0.00    0.00     -0.00        0.30   -3.90   -0.61    0.00    0.00
 2022 161    41  283.32    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.91   0.94   0.00   0.00    0.00     -0.00        0.00   -0.91   -0.94    0.00    0.00
 2022 162    42  281.40    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.82   1.10   0.00   0.00   -0.00     -0.00        0.00   -0.82   -1.10    0.00    0.00
 2022 163    43  279.47    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.74   1.19   0.00   0.00   -0.00     -0.00        0.00   -0.74   -1.19    0.00    0.00
 2022 164    44  276.99    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   1.82   0.00   0.00    0.00     -0.00        0.00   -0.66   -1.82    0.00    0.00
 2022 165    45  275.07    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.58   1.34   0.00   0.00   -0.00     -0.00        0.00   -0.58   -1.34    0.00    0.00
 2022 166    46  273.09    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.52   1.46   0.00   0.00    0.00     -0.00        0.00   -0.52   -1.46    0.00    0.00
 2022 167    47  271.11    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.48   1.50   0.00   0.00    0.00     -0.00        0.00   -0.48   -1.50    0.00    0.00
 2022 168    48  268.65    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.44   2.02   0.00   0.00    0.00      0.00        0.00   -0.44   -2.02    0.00    0.00
 2022 169    49  266.16    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.40   2.09   0.00   0.00   -0.00     -0.00        0.00   -0.40   -2.09    0.00    0.00
 2022 170    50  263.74    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.37   2.05   0.00   0.00   -0.00     -0.00        0.00   -0.37   -2.05    0.00    0.00
 2022 171    51  261.60    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.34   1.80   0.00   0.00   -0.00     -0.00        0.00   -0.34   -1.80    0.00    0.00
 2022 172    52  260.16    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.32   1.12   0.00   0.00   -0.00     -0.00        0.00   -0.32   -1.12    0.00    0.00
 2022 173    53  258.28    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.29   1.59   0.00   0.00    0.00     -0.00        0.00   -0.29   -1.59    0.00    0.00
 2022 174    54  255.71    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.27   2.30   0.00   0.00   -0.00     -0.00        0.00   -0.27   -2.30    0.00    0.00
 2022 175    55  253.92    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.27   1.82   0.00   0.00   -0.00     -0.00        0.30   -0.27   -1.82    0.00    0.00
 2022 176    56  252.00    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.26   1.66   0.00   0.00   -0.00     -0.00        0.00   -0.26   -1.66    0.00    0.00
 2022 177    57  250.32    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.24   1.44   0.00   0.00   -0.00     -0.00        0.00   -0.24   -1.44    0.00    0.00
 2022 178    58  247.92    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.23   2.17   0.00   0.00   -0.00     -0.00        0.00   -0.23   -2.17    0.00    0.00
 2022 179    59  245.60    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.21   2.11   0.00   0.00   -0.00     -0.00        0.00   -0.21   -2.11    0.00    0.00
 2022 180    60  242.93    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.20   2.47   0.00   0.00   -0.00     -0.00        0.00   -0.20   -2.47    0.00    0.00
 2022 181    61  240.99    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.18   1.76   0.00   0.00    0.00     -0.00        0.00   -0.18   -1.76    0.00    0.00
 2022 182    62  239.01    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.17   1.80   0.00   0.00   -0.00     -0.00        0.00   -0.17   -1.80    0.00    0.00
 2022 183    63  259.36    0.00    0.00   0.00   0.00  25.90   0.00    0.00   0.00   0.00   0.00   0.00   3.63   1.93   0.00   0.00   -0.00     -0.00       25.90   -3.63   -1.93    0.00    0.00
 2022 184    64  260.64    0.00    0.00   0.00   0.00   8.10   0.00    0.00   0.00   0.00   0.00   0.00   4.45   2.37   0.00   0.00    0.00     -0.00        8.10   -4.45   -2.37    0.00    0.00
 2022 185    65  252.55    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.22   2.87   0.00   0.00    0.00     -0.00       -0.00   -5.22   -2.87    0.00    0.00
 2022 186    66  272.93    0.00    0.00   0.00   0.00  29.20   0.00    0.00   0.00   0.00   1.36   0.00   4.76   2.71   0.00   0.00   -0.00     -0.00       27.84   -4.76   -2.71    0.00    0.00
 2022 187    67  270.54    0.00    0.00   0.00   0.00   1.30   0.00    0.00   0.00   0.00   0.00   0.00   2.32   1.36   0.00   0.00    0.00     -0.00        1.30   -2.32   -1.36    0.00    0.00
 2022 188    68  276.34    0.00    0.00   0.00   0.00  11.20   0.00    0.00   0.00   0.00   0.00   0.00   3.39   2.01   0.00   0.00   -0.00     -0.00       11.20   -3.39   -2.01    0.00    0.00
 2022 189    69  268.98    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.56   2.80   0.00   0.00   -0.00     -0.00        0.00   -4.56   -2.80    0.00    0.00
 2022 190    70  260.93    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.93   3.12   0.00   0.00    0.00     -0.00       -0.00   -4.93   -3.12    0.00    0.00
 2022 191    71  253.86    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   5.11   3.46   0.00   0.00    0.00     -0.00        1.50   -5.11   -3.46    0.00    0.00
 2022 192    72  250.63    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.88   2.65   0.00   0.00    0.00     -0.00        0.30   -0.88   -2.65    0.00    0.00
 2022 193    73  247.27    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.80   2.56   0.00   0.00    0.00     -0.00        0.00   -0.80   -2.56    0.00    0.00
 2022 194    74  244.12    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.72   2.73   0.00   0.00    0.00     -0.00        0.30   -0.72   -2.73    0.00    0.00
 2022 195    75  239.70    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   3.76   0.00   0.00    0.00     -0.00        0.00   -0.66   -3.76    0.00    0.00
 2022 196    76  236.40    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.57   2.74   0.00   0.00    0.00      0.00        0.00   -0.57   -2.74    0.00    0.00
 2022 197    77  233.87    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.50   2.03   0.00   0.00   -0.00     -0.00        0.00   -0.50   -2.03    0.00    0.00
 2022 198    78  230.75    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.45   2.67   0.00   0.00    0.00      0.00        0.00   -0.45   -2.67    0.00    0.00
 2022 199    79  226.90    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.41   3.44   0.00   0.00    0.00      0.00        0.00   -0.41   -3.44    0.00    0.00
 2022 200    80  223.74    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.38   2.78   0.00   0.00    0.00      0.00        0.00   -0.38   -2.78    0.00    0.00
 2022 201    81  220.81    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.34   2.59   0.00   0.00   -0.00      0.00        0.00   -0.34   -2.59    0.00    0.00
 2022 202    82  231.17    0.00    0.00   0.00   0.00  17.30   0.00    0.00   0.00   0.00   0.00   0.00   4.10   2.84   0.00   0.00   -0.00      0.00       17.30   -4.10   -2.84    0.00    0.00
 2022 203    83  223.86    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.54   2.76   0.00   0.00   -0.00      0.00        0.00   -4.54   -2.76    0.00    0.00
 2022 204    84  217.26    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.11   2.50   0.00   0.00    0.00      0.00       -0.00   -4.11   -2.50    0.00    0.00
 2022 205    85  214.36    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.78   2.11   0.00   0.00    0.00      0.00        0.00   -0.78   -2.11    0.00    0.00
 2022 206    86  218.36    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.87   0.43   0.00   0.00   -0.00      0.00        5.30   -0.87   -0.43    0.00    0.00
 2022 207    87  214.50    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.62   1.23   0.00   0.00   -0.00      0.00        0.00   -2.62   -1.23    0.00    0.00
 2022 208    88  234.65    0.00    0.00   0.00   0.00  24.40   0.00    0.00   0.00   0.00   0.16   0.00   2.82   1.27   0.00   0.00    0.00      0.00       24.24   -2.82   -1.27    0.00    0.00
 2022 209    89  230.41    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   3.18   1.36   0.00   0.00    0.00      0.00        0.30   -3.18   -1.36    0.00    0.00
 2022 210    90  226.58    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.71   1.12   0.00   0.00   -0.00      0.00        0.00   -2.71   -1.12    0.00    0.00
 2022 211    91  220.15    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.49   1.94   0.00   0.00   -0.00      0.00       -0.00   -4.49   -1.94    0.00    0.00
 2022 212    92  217.72    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.83   1.60   0.00   0.00    0.00      0.00        0.00   -0.83   -1.60    0.00    0.00
 2022 213    93  214.92    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.74   2.06   0.00   0.00    0.00      0.00        0.00   -0.74   -2.06    0.00    0.00
 2022 214    94  213.61    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   0.72   2.08   0.00   0.00   -0.00      0.00        1.50   -0.72   -2.08    0.00    0.00
 2022 215    95  211.19    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.70   1.72   0.00   0.00   -0.00      0.00        0.00   -0.70   -1.72    0.00    0.00
 2022 216    96  208.91    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.62   1.66   0.00   0.00   -0.00      0.00        0.00   -0.62   -1.66    0.00    0.00
 2022 217    97  206.46    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.55   1.89   0.00   0.00   -0.00      0.00        0.00   -0.55   -1.89    0.00    0.00
 2022 218    98  204.66    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.49   1.31   0.00   0.00   -0.00      0.00        0.00   -0.49   -1.31    0.00    0.00
 2022 219    99  204.62    0.00    0.00   0.00   0.00   0.80   0.00    0.00   0.00   0.00   0.00   0.00   0.48   0.36   0.00   0.00    0.00      0.00        0.80   -0.48   -0.36    0.00    0.00
 2022 220   100  202.78    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.48   1.36   0.00   0.00   -0.00     -0.00        0.00   -0.48   -1.36    0.00    0.00
