*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JUN 25, 2025 18:37:00

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2020 110     1      595     0.00     0.00        1     0.00     0.00        2        0        0        2
 2020 111     2      574     0.00     0.00        1     0.00     0.00        4        0        0        4
 2020 112     3      662     0.00     0.00        2     0.00     0.00        7        0        0        7
 2020 113     4      768     0.01     0.00        3     0.00     0.00       10        0        0       10
 2020 114     5     1070     0.01     0.00        4     0.00     0.00       13        0        0       13
 2020 115     6     1303     0.01     0.00        5     0.00     0.00       18        0        0       18
 2020 116     7     1437     0.01     0.00        6     0.00     0.00       24        0        0       24
 2020 117     8     1431     0.01     0.00        8     0.00     0.00       29        0        0       29
 2020 118     9     1604     0.02     0.00        9     0.00     0.00       35        0        0       35
 2020 119    10     1780     0.02     0.00       11     0.00     0.00       41        0        0       41
 2020 120    11     1926     0.02     0.00       13     0.00     0.00       48        0        0       48
 2020 121    12     2096     0.03     0.00       15     0.00     0.00       56        0        0       56
 2020 122    13     2358     0.03     0.00       18     0.00     0.00       65        0        0       65
 2020 123    14     2762     0.03     0.00       20     0.00     0.00       75        0        0       75
 2020 124    15     2574     0.04     0.00       23     0.00     0.00       84        0        0       84
 2020 125    16     2512     0.01     0.00       25     0.00     0.00       93        0        0       94
 2020 126    17     2334     0.01     0.00       28     0.00     0.00      102        0        0      102
 2020 127    18     2187     0.03     0.00       30     0.00     0.00      110        0        0      110
 2020 128    19     1529     0.04     0.00       31     0.00     0.00      116        0        0      116
 2020 129    20     1478     0.06     0.00       33     0.00     0.00      121        0        0      121
 2020 130    21     1202     0.06     0.00       34     0.00     0.00      125        0        0      126
 2020 131    22     1121     0.07     0.00       35     0.00     0.00      130        0        0      130
 2020 132    23      747     0.07     0.00       36     0.00     0.00      132        0        0      133
 2020 133    24      430     0.08     0.00       36     0.00     0.00      134        0        0      134
 2020 134    25      113     0.08     0.00       37     0.00     0.00      134        0        0      135
 2020 135    26      148     0.08     0.00       37     0.00     0.00      135        0        0      135
 2020 136    27      385     0.08     0.00       37     0.00     0.00      136        0        0      137
 2020 137    28      861     0.02     0.00       38     0.00     0.00      139        0        0      140
 2020 138    29     1540     0.02     0.00       40     0.00     0.00      145        0        0      145
 2020 139    30     1904     0.06     0.00       41     0.00     0.00      152        0        0      153
 2020 140    31     1996     0.09     0.00       43     0.00     0.00      159        1        0      160
 2020 141    32     2072     0.11     0.00       45     0.00     0.00      167        1        0      168
 2020 142    33     2296     0.11     0.00       48     0.00     0.00      175        1        0      176
 2020 143    34     2313     0.12     0.00       50     0.00     0.00      184        1        0      185
 2020 144    35     2634     0.12     0.00       53     0.00     0.00      194        1        0      194
 2020 145    36     2915     0.13     0.00       56     0.00     0.00      204        1        0      205
 2020 146    37     2943     0.13     0.00       59     0.00     0.00      215        1        0      216
 2020 147    38     2606     0.03     0.00       61     0.00     0.00      225        1        0      225
 2020 148    39     2554     0.09     0.00       64     0.00     0.00      234        1        0      235
 2020 149    40     2555     0.13     0.00       66     0.00     0.00      243        1        0      244
 2020 150    41     2592     0.16     0.00       69     0.00     0.00      253        1        0      254
 2020 151    42     2706     0.17     0.00       72     0.00     0.00      263        1        0      264
 2020 152    43     3160     0.17     0.00       75     0.00     0.00      274        1        0      276
 2020 153    44     3610     0.17     0.00       78     0.00     0.00      288        1        0      289
 2020 154    45     4183     0.18     0.00       83     0.00     0.00      303        1        0      304
 2020 155    46     4618     0.19     0.00       87     0.00     0.00      320        1        0      321
 2020 156    47     4841     0.19     0.00       92     0.00     0.00      338        2        0      339
 2020 157    48     5057     0.20     0.00       97     0.00     0.00      356        2        0      358
 2020 158    49     5172     0.21     0.00      102     0.00     0.00      375        2        0      377
 2020 159    50     5255     0.22     0.00      108     0.00     0.00      395        2        0      396
 2020 160    51     5507     0.22     0.00      113     0.00     0.00      415        2        0      417
 2020 161    52     5684     0.23     0.00      119     0.00     0.00      436        2        0      438
 2020 162    53     5201     0.24     0.00      124     0.00     0.00      455        2        0      457
 2020 163    54     4813     0.24     0.00      129     0.00     0.00      472        2        0      475
 2020 164    55     4265     0.25     0.00      133     0.01     0.00      488        2        0      490
 2020 165    56     3862     0.26     0.00      137     0.01     0.00      502        2        0      505
 2020 166    57     3746     0.26     0.00      141     0.01     0.00      516        3        0      519
 2020 167    58     4545     0.27     0.00      145     0.01     0.00      533        3        0      535
 2020 168    59     5196     0.27     0.00      150     0.01     0.00      552        3        0      555
 2020 169    60     5694     0.28     0.00      156     0.01     0.00      573        3        0      576
 2020 170    61     6048     0.29     0.00      162     0.01     0.00      595        3        0      598
 2020 171    62     5905     0.30     0.00      168     0.01     0.00      616        3        0      620
 2020 172    63     5330     0.30     0.00      173     0.01     0.00      636        3        0      639
 2020 173    64     4912     0.31     0.00      178     0.01     0.00      654        4        0      658
 2020 174    65     4753     0.31     0.00      183     0.01     0.00      672        4        0      675
 2020 175    66     4294     0.32     0.00      187     0.01     0.00      687        4        0      691
 2020 176    67     4299     0.32     0.00      192     0.01     0.00      703        4        0      707
 2020 177    68     4672     0.33     0.00      196     0.01     0.00      720        4        0      724
 2020 178    69     5007     0.33     0.00      201     0.01     0.00      739        4        0      743
 2020 179    70     5097     0.34     0.00      206     0.01     0.00      757        4        0      762
 2020 180    71     5372     0.34     0.00      212     0.01     0.00      777        5        0      782
 2020 181    72     5783     0.35     0.00      217     0.01     0.00      798        5        0      803
 2020 182    73     6037     0.36     0.00      224     0.01     0.00      820        5        0      825
 2020 183    74     5632     0.37     0.00      229     0.01     0.00      841        5        0      846
 2020 184    75     5347     0.38     0.00      235     0.01     0.00      861        5        0      866
 2020 185    76     5296     0.38     0.00      240     0.01     0.00      880        6        0      886
 2020 186    77     5170     0.39     0.00      245     0.01     0.00      899        6        0      905
 2020 187    78     4882     0.39     0.00      250     0.01     0.00      917        6        0      923
 2020 188    79     5177     0.40     0.00      255     0.01     0.00      936        6        0      942
 2020 189    80     5474     0.40     0.00      261     0.01     0.00      956        6        0      962
 2020 190    81     5582     0.41     0.00      266     0.01     0.00      977        6        0      983
 2020 191    82     5658     0.41     0.00      272     0.01     0.00      997        7        0     1004
 2020 192    83     5962     0.11     0.00      278     0.01     0.00     1019        7        0     1026
 2020 193    84     6108     0.36     0.00      284     0.01     0.00     1042        7        0     1048
 2020 194    85     5912     0.41     0.00      290     0.02     0.00     1063        7        0     1070
 2020 195    86     5633     0.42     0.00      295     0.02     0.00     1084        7        0     1091
 2020 196    87     5984     0.11     0.00      301     0.02     0.00     1106        7        0     1113
 2020 197    88     6141     0.27     0.00      307     0.02     0.00     1128        7        0     1136
 2020 198    89     6136     0.38     0.00      314     0.02     0.00     1151        8        0     1159
 2020 199    90     6324     0.44     0.00      320     0.02     0.00     1174        8        0     1182
 2020 200    91     6645     0.44     0.00      327     0.02     0.00     1199        8        0     1207
 2020 201    92     6494     0.45     0.00      333     0.02     0.00     1222        8        0     1231
 2020 202    93     6708     0.45     0.00      340     0.02     0.00     1247        8        0     1255
 2020 203    94     6769     0.46     0.00      347     0.02     0.00     1272        9        0     1281
 2020 204    95     6477     0.46     0.00      353     0.02     0.00     1296        9        0     1305
 2020 205    96     6268     0.46     0.00      359     0.02     0.00     1319        9        0     1328
 2020 206    97     6422     0.46     0.00      366     0.02     0.00     1342        9        0     1352
 2020 207    98     6736     0.35     0.00      372     0.02     0.00     1367        9        0     1376
 2020 208    99     6984     0.12     0.00      379     0.02     0.00     1393       10        0     1402
 2020 209   100     7352     0.31     0.00      387     0.02     0.00     1420       10        0     1429
 2020 210   101     7274     0.48     0.00      394     0.02     0.00     1446       10        0     1456
 2020 211   102     7125     0.52     0.00      401     0.02     0.00     1472       10        0     1483
 2020 212   103     6931     0.12     0.00      408     0.02     0.00     1498       10        0     1508
 2020 213   104     6661     0.19     0.00      415     0.02     0.00     1522       10        0     1533
 2020 214   105     6823     0.38     0.00      422     0.02     0.00     1547       10        0     1558
 2020 215   106     6803     0.49     0.00      428     0.02     0.00     1572       11        0     1583
 2020 216   107     6379     0.52     0.00      435     0.02     0.00     1596       11        0     1607
 2020 217   108     5938     0.52     0.00      441     0.02     0.00     1618       11        0     1629
 2020 218   109     5943     0.52     0.00      447     0.02     0.00     1639       11        0     1651
 2020 219   110     6115     0.52     0.00      453     0.02     0.00     1662       12        0     1673
 2020 220   111     6203     0.52     0.00      459     0.03     0.00     1685       12        0     1696
 2020 221   112     6885     0.52     0.00      466     0.03     0.00     1710       12        0     1722
 2020 222   113     7369     0.52     0.00      473     0.03     0.00     1737       12        0     1749
 2020 223   114     7748     0.52     0.00      481     0.03     0.00     1765       13        0     1778
 2020 224   115     7746     0.52     0.00      489     0.03     0.00     1794       13        0     1807
 2020 225   116     7758     0.52     0.00      497     0.03     0.00     1822       13        0     1835
 2020 226   117     7592     0.53     0.00      504     0.03     0.00     1850       13        0     1863
 2020 227   118     7746     0.53     0.00      512     0.03     0.00     1878       14        0     1892
 2020 228   119     7539     0.53     0.00      519     0.03     0.00     1906       14        0     1920
 2020 229   120     7365     0.53     0.00      527     0.03     0.00     1933       14        0     1947
 2020 230   121     7447     0.53     0.00      534     0.03     0.00     1960       14        0     1975
 2020 231   122     7181     0.53     0.00      541     0.03     0.00     1987       15        0     2001
 2020 232   123     7122     0.53     0.00      548     0.03     0.00     2013       15        0     2028
 2020 233   124     7345     0.53     0.00      556     0.03     0.00     2040       15        0     2055
 2020 234   125     7771     0.53     0.00      564     0.03     0.00     2068       15        0     2084
 2020 235   126     7816     0.54     0.00      571     0.03     0.00     2097       16        0     2113
 2020 236   127     8110     0.54     0.00      580     0.03     0.00     2127       16        0     2143
 2020 237   128     8111     0.54     0.00      588     0.03     0.00     2157       16        0     2173
 2020 238   129     8354     0.54     0.00      596     0.03     0.00     2187       16        0     2204
 2020 239   130     8500     0.54     0.00      605     0.04     0.00     2219       17        0     2235
 2020 240   131     8637     0.55     0.00      613     0.04     0.00     2250       17        0     2267
 2020 241   132     8693     0.55     0.00      622     0.04     0.00     2282       17        0     2299
 2020 242   133     8459     0.55     0.00      630     0.04     0.00     2313       17        0     2331
 2020 243   134     7753     0.55     0.00      638     0.04     0.00     2342       18        0     2359
 2020 244   135     7613     0.55     0.00      646     0.04     0.00     2370       18        0     2387
 2020 245   136     6907     0.55     0.00      653     0.04     0.00     2395       18        0     2413
 2020 246   137     6416     0.55     0.00      659     0.04     0.00     2418       18        0     2437
 2020 247   138     6141     0.55     0.00      665     0.04     0.00     2441       19        0     2460
 2020 248   139     6321     0.55     0.00      671     0.04     0.00     2464       19        0     2483
 2020 249   140     6130     0.55     0.00      678     0.04     0.00     2487       19        0     2506
 2020 250   141     6576     0.55     0.00      684     0.04     0.00     2511       19        0     2530
 2020 251   142     6909     0.55     0.00      691     0.04     0.00     2536       20        0     2556
 2020 252   143     6683     0.55     0.00      698     0.04     0.00     2561       20        0     2581
 2020 253   144     5739     0.46     0.00      703     0.04     0.00     2582       20        0     2602
 2020 254   145     4536     0.48     0.00      708     0.04     0.00     2598       20        0     2619
 2020 255   146     3469     0.54     0.00      711     0.04     0.00     2611       21        0     2632
 2020 256   147     2770     0.53     0.00      714     0.04     0.00     2621       21        0     2642
 2020 257   148     2763     0.53     0.00      717     0.05     0.00     2631       21        0     2653
 2020 258   149     3752     0.52     0.00      721     0.05     0.00     2645       21        0     2667
 2020 259   150     4703     0.52     0.00      725     0.05     0.00     2662       22        0     2684
 2020 260   151     5615     0.52     0.00      731     0.05     0.00     2683       22        0     2705
 2020 261   152     5686     0.52     0.00      737     0.05     0.00     2704       22        0     2726
 2020 262   153     5660     0.51     0.00      742     0.05     0.00     2725       22        0     2747
 2020 263   154     5660     0.51     0.00      748     0.05     0.00     2746       23        0     2768
 2020 264   155     5870     0.51     0.00      754     0.05     0.00     2767       23        0     2790
 2020 265   156     5935     0.51     0.00      760     0.05     0.00     2789       23        0     2812
 2020 266   157     6370     0.51     0.00      766     0.05     0.00     2812       23        0     2836
 2020 267   158     6758     0.51     0.00      773     0.05     0.00     2837       24        0     2861
 2020 268   159     6869     0.51     0.00      780     0.05     0.00     2862       24        0     2886
